accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.81,1.62,-1.24,-1.39,0.15
-0.53,-0.8,1.62,-0.38,-0.23,-0.46
-0.5,-0.82,1.6,-2.7,-1.15,-0.76
-0.51,-0.82,1.63,2.67,-0.84,-0.15
-0.53,-0.82,1.62,7.98,-8.35,-1.31
-0.51,-0.81,1.61,-0.93,-5.91,-0.89
-0.51,-0.81,1.62,1.21,-3.1,-0.89
-0.49,-0.84,1.63,1.69,-4.32,-1.01
-0.51,-0.82,1.61,-1.6,-0.23,-1.31
-0.52,-0.8,1.61,-1.3,0.5,2.1
-0.5,-0.82,1.61,0.78,4.35,2.65
-0.49,-0.84,1.54,4.01,6.3,4.12
-0.52,-0.79,1.59,15.0,-0.05,9.73
-0.56,-0.79,1.63,33.92,-5.97,1.07
-0.54,-0.82,1.66,17.81,-1.51,-5.16
-0.34,-0.97,1.75,11.03,-4.5,-12.24
-0.6,-0.76,1.71,4.75,-22.94,-10.77
-0.54,-0.77,1.57,-4.9,-16.47,-9.67
-0.47,-0.78,1.44,-11.49,-16.71,-11.57
-0.54,-0.78,1.6,0.17,-5.72,-1.68
-0.5,-0.79,1.54,-2.09,0.13,-0.52
-0.52,-0.79,1.57,0.53,-4.63,-1.37
-0.52,-0.79,1.58,0.35,0.13,-1.92
-0.53,-0.79,1.57,-0.2,1.11,-1.01
-0.52,-0.79,1.57,1.21,-3.28,-0.64
-0.52,-0.79,1.57,-0.01,-2.12,-0.76
-0.52,-0.79,1.57,-0.5,-1.33,-1.01
