accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.49,-0.8,1.59,-0.24,-3.79,-0.44
-0.5,-0.81,1.6,-0.37,-4.15,-0.63
-0.5,-0.81,1.6,0.61,-2.45,1.27
-0.5,-0.82,1.59,-2.44,-4.46,-0.02
-0.5,-0.83,1.62,-1.34,2.32,-0.75
-0.48,-0.81,1.59,0.73,-5.74,-3.86
-0.51,-0.77,1.61,-4.15,-7.08,1.51
-0.5,-0.82,1.6,0.12,-8.3,1.2
-0.54,-0.81,1.59,-0.55,-4.22,1.82
-0.5,-0.84,1.6,-2.68,0.3,-6.18
-0.53,-0.81,1.62,-3.91,-3.24,3.52
-0.5,-0.82,1.62,-1.77,-3.91,0.96
-0.51,-0.82,1.62,-0.37,-0.61,1.88
-0.48,-0.84,1.62,2.5,3.96,-0.63
-0.56,-0.78,1.57,11.23,0.67,-4.78
-0.49,-0.83,1.65,14.16,0.91,-6.24
-0.52,-0.79,1.56,7.26,1.16,-4.35
-0.47,-0.85,1.68,19.17,-14.41,-2.82
-0.52,-0.79,1.57,4.88,-4.89,-2.52
-0.5,-0.8,1.55,12.21,-5.01,-2.7
-0.51,-0.81,1.6,6.29,-12.27,-2.21
-0.52,-0.8,1.58,0.79,-4.52,-2.88
-0.51,-0.82,1.64,-12.57,-7.39,4.62
-0.49,-0.8,1.49,-5.8,2.25,8.65
-0.52,-0.8,1.58,-0.55,7.56,8.41
-0.5,-0.8,1.54,5.37,5.73,4.5
-0.53,-0.81,1.62,9.89,7.32,4.81
-0.52,-0.81,1.63,16.36,-4.34,-2.7
-0.55,-0.77,1.53,12.82,-13.0,-8.19
-0.54,-0.84,1.69,-2.26,-22.59,-15.21
-0.5,-0.79,1.53,-2.99,-26.62,-6.85
-0.48,-0.79,1.48,-1.59,-5.25,-2.64
-0.51,-0.79,1.56,-0.06,-1.22,-0.26
-0.51,-0.79,1.56,0.92,-1.77,-1.05
-0.51,-0.79,1.55,1.4,-2.08,-0.14
-0.51,-0.79,1.56,1.16,-4.09,0.66
-0.51,-0.79,1.56,1.4,-3.18,0.23
