accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.54,-0.81,1.65,0.7,-4.29,-2.4
-0.54,-0.82,1.65,1.56,-2.34,-3.25
-0.55,-0.82,1.62,1.43,-1.12,-3.13
-0.55,-0.8,1.66,1.98,-0.08,-3.74
-0.55,-0.83,1.64,5.83,3.34,-5.2
-0.55,-0.81,1.65,2.04,-1.06,-10.76
-0.58,-0.8,1.63,-3.63,-0.63,0.29
-0.54,-0.81,1.64,-4.18,-10.46,2.06
-0.57,-0.8,1.65,-2.41,-0.14,3.4
-0.6,-0.79,1.71,0.7,-17.9,-9.29
-0.56,-0.79,1.63,-4.49,-17.23,-11.37
-0.59,-0.79,1.76,-16.57,-17.35,-10.7
-0.55,-0.78,1.63,-16.81,-11.55,-6.85
-0.48,-0.86,1.66,-19.32,-5.63,1.57
-0.51,-0.85,1.63,-9.98,9.32,3.16
-0.57,-0.8,1.66,8.03,12.0,8.59
-0.63,-0.81,1.83,22.98,10.11,5.11
-0.58,-0.83,1.72,34.76,-5.33,-11.37
-0.64,-0.74,1.69,7.66,-28.1,-16.92
-0.55,-0.81,1.67,-10.83,-37.13,-21.26
-0.58,-0.78,1.6,-16.14,-33.1,-15.64
-0.57,-0.78,1.59,-4.12,-9.6,-5.63
-0.57,-0.78,1.62,-6.62,8.59,-1.54
-0.6,-0.75,1.56,17.79,1.14,-15.64
-0.71,-0.65,1.66,-3.08,-16.01,96.85
-0.55,-1.09,1.49,9.86,-16.44,28.49
-0.48,-0.8,1.57,-6.19,6.33,-15.82
-0.51,-0.81,1.63,0.58,3.83,1.63
-0.5,-0.87,1.57,-2.59,1.87,-8.56
