accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.81,1.68,1.08,-1.5,0.27
-0.59,-0.81,1.69,1.33,-1.5,-0.52
-0.57,-0.78,1.69,-2.52,-0.22,1.25
-0.58,-0.82,1.68,0.72,-0.16,1.49
-0.58,-0.8,1.7,-3.31,1.31,-1.07
-0.58,-0.81,1.62,-15.94,-1.74,-6.87
-0.58,-0.79,1.72,-11.73,-4.92,-13.21
-0.61,-0.81,1.67,-13.75,4.67,-15.6
-0.62,-0.77,1.72,-8.8,5.89,-19.14
-0.63,-0.8,1.75,-8.93,8.51,-16.75
-0.62,-0.79,1.75,-7.46,-1.99,6.44
-0.67,-0.75,1.77,-4.35,-20.85,12.79
-0.76,-0.73,1.92,-1.97,12.24,6.07
-0.62,-0.75,1.64,9.93,12.97,1.43
-0.58,-0.85,1.89,44.48,-10.84,-16.94
-0.62,-0.85,1.87,31.6,-0.03,-17.98
-0.58,-0.8,1.73,21.47,-2.47,-10.41
-0.61,-0.78,1.72,10.67,-8.21,-5.04
-0.61,-0.63,1.68,-21.5,-12.36,46.66
-0.64,-0.99,1.58,-14.42,0.7,24.44
-0.65,-0.74,1.76,5.54,5.83,-7.84
-0.37,-0.15,2.03,2.61,1.8,-21.58
-0.65,-0.75,1.73,-1.17,-15.78,4.49
-0.67,-0.75,1.78,-22.11,-22.13,-19.62
-0.51,-0.83,1.46,-15.88,-14.32,-19.68
-0.59,-0.79,1.64,-5.26,-6.32,-8.15
-0.63,-0.77,1.69,-0.14,0.33,-0.7
-0.62,-0.77,1.7,6.03,-0.52,-6.38
-0.67,-0.42,1.68,3.34,2.23,74.55
-0.65,-1.13,1.57,11.64,-16.76,44.95
-0.57,-0.78,1.66,10.12,5.34,-7.29
-0.55,-0.78,1.69,4.32,4.61,1.25
-0.56,-0.82,1.66,6.58,2.9,5.83
-0.54,-0.78,1.65,1.63,-0.4,-3.21
