accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.55,-0.82,1.65,0.23,-2.58,-1.88
-0.55,-0.79,1.67,0.11,-3.38,-0.66
-0.55,-0.81,1.65,-0.99,-3.74,-0.84
-0.56,-0.8,1.66,-3.8,-4.17,-1.08
-0.57,-0.84,1.65,-6.12,-2.28,-4.99
-0.57,-0.85,1.66,-8.44,-3.86,-16.1
-0.55,-0.78,1.7,-8.01,-2.46,-25.07
-0.6,-0.8,1.71,-4.9,-2.34,-23.85
-0.62,-0.77,1.68,-8.68,-9.6,0.2
-0.59,-0.78,1.67,-17.65,2.42,-2.06
-0.57,-0.81,1.66,-11.0,12.8,10.15
-0.57,-0.78,1.59,4.07,16.52,10.21
-0.67,-0.78,1.81,35.02,-13.14,0.81
-0.63,-0.78,1.76,19.09,-41.1,-19.94
-0.52,-0.84,1.61,-35.54,-20.1,-18.42
-0.64,-0.69,1.56,-38.59,-0.57,8.01
-0.6,-0.79,1.69,-6.67,-0.02,1.54
-0.71,-0.7,1.62,26.47,-10.82,-20.37
-0.64,-0.82,1.69,41.86,7.0,-15.31
-0.63,-0.69,1.48,31.17,-1.61,-8.96
-0.52,-0.87,1.79,24.28,15.48,-8.04
-0.47,-0.9,1.72,-10.27,8.04,8.01
-0.83,-0.65,1.7,-12.65,-13.63,10.33
-0.67,-0.7,1.65,1.39,-10.27,-17.93
-0.7,-0.76,1.61,17.01,-18.88,100.48
-0.52,-0.97,1.58,9.87,-14.06,22.96
-0.51,-0.81,1.61,12.99,4.07,17.17
-0.55,-0.9,1.61,-0.08,2.48,-6.27
-0.52,-0.78,1.67,-2.7,1.75,-7.13
-0.51,-0.85,1.55,0.11,-6.61,-0.29
-0.54,-0.8,1.66,0.66,-3.25,-2.24
