accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.82,1.64,1.15,-3.53,-0.02
-0.52,-0.82,1.64,1.45,-3.35,-0.57
-0.51,-0.82,1.63,-0.99,-3.65,-0.14
-0.51,-0.82,1.65,0.17,-3.53,-0.2
-0.51,-0.84,1.61,0.05,-2.55,0.23
-0.53,-0.79,1.68,-5.32,3.19,2.36
-0.56,-0.85,1.77,-0.93,-0.35,0.05
-0.48,-0.86,1.69,-7.34,-2.8,-4.53
-0.51,-0.82,1.68,-16.07,1.96,7.74
-0.54,-0.8,1.67,-15.52,3.12,-0.14
-0.7,-0.75,1.67,-4.23,3.25,1.14
-0.56,-0.74,1.49,36.0,-5.42,-15.7
-0.38,-0.82,1.5,39.96,-17.26,-12.41
-0.44,-0.87,1.59,34.84,-5.91,-6.97
-0.52,-0.8,1.62,0.47,-2.73,-2.21
-0.49,-0.85,1.66,3.04,-8.53,-7.83
-0.61,-0.68,1.49,-49.82,-18.3,1.82
-0.59,-0.77,1.62,-24.86,-22.63,-6.79
-0.6,-0.76,1.63,-7.64,0.62,-11.25
-0.47,-0.84,1.63,18.97,4.35,-12.71
-0.46,-0.84,1.67,22.02,2.51,-9.23
-0.54,-0.79,1.64,5.42,-5.12,-1.6
-0.54,-0.79,1.62,8.23,-10.61,-2.21
-0.3,-0.5,1.75,1.39,-11.04,24.76
-0.57,-0.99,1.58,12.13,-1.64,31.6
-0.52,-0.78,1.55,-3.37,-9.27,-4.9
-0.52,-0.8,1.64,4.87,-0.54,3.34
-0.52,-0.81,1.59,-0.5,-1.88,-2.82
-0.52,-0.79,1.62,2.18,-5.97,2.91
