accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.55,-0.81,1.67,1.45,-2.63,-0.32
-0.54,-0.82,1.68,2.67,-5.56,-0.75
-0.54,-0.82,1.65,1.15,-4.76,-0.5
-0.54,-0.81,1.69,-0.93,-4.58,0.05
-0.52,-0.81,1.69,-4.1,-2.87,0.84
-0.53,-0.83,1.67,-0.87,-6.47,-3.49
-0.55,-0.84,1.69,-1.97,1.16,-6.55
-0.55,-0.84,1.74,-4.04,2.5,-24.49
-0.29,-0.24,1.89,-6.79,-2.38,-21.62
-0.56,-0.8,1.7,-11.06,-3.18,3.28
-0.58,-0.81,1.71,-13.87,23.37,4.87
-0.59,-0.81,1.76,31.97,0.61,-4.23
-0.57,-0.8,1.68,14.45,-8.73,-2.46
-0.57,-0.78,1.67,8.1,-2.69,-7.71
-0.51,-0.67,1.85,-1.72,-7.51,21.04
-0.59,-0.88,1.56,-7.77,-14.53,24.95
-0.52,-0.86,1.8,-16.49,-20.39,2.91
-0.53,-0.85,1.68,-10.63,-8.18,3.4
-0.55,-0.83,1.69,-21.68,-8.55,-5.02
-0.55,-0.85,1.72,-3.31,-10.07,-12.96
-0.68,-0.73,1.69,-12.16,14.77,8.47
-0.58,-0.78,1.64,0.47,20.5,5.78
-0.59,-0.85,1.83,20.25,-18.5,-7.16
-0.49,-0.87,1.73,-17.41,-8.91,-11.0
-0.49,-0.88,1.72,-14.42,2.99,3.46
-0.6,-0.78,1.69,20.62,4.88,8.77
-0.39,-0.6,1.76,2.43,-22.1,18.05
-0.55,-0.96,1.67,11.34,-23.75,22.02
-0.49,-0.82,1.64,1.63,1.16,-4.11
-0.54,-0.83,1.69,8.71,-2.63,2.97
-0.52,-0.84,1.69,3.22,0.24,-1.18
-0.53,-0.82,1.7,4.75,-1.22,1.33
