accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.57,-0.8,1.67,1.66,-3.01,-0.17
-0.57,-0.81,1.68,1.54,-2.58,-2.92
-0.56,-0.8,1.67,-2.12,-3.07,0.08
-0.56,-0.81,1.67,-2.24,-1.54,-3.1
-0.56,-0.79,1.68,-0.04,-3.93,-1.76
-0.56,-0.82,1.67,-1.39,2.42,-6.33
-0.62,-0.89,1.72,-5.42,2.85,-14.15
-0.66,-0.81,1.63,-16.89,4.86,-30.5
-0.64,-0.75,1.68,-13.35,-12.65,3.92
-0.6,-0.79,1.72,-23.79,14.08,-0.05
-0.71,-0.74,1.86,31.63,-11.25,-3.34
-0.73,-0.71,1.68,51.29,-16.8,-18.97
-0.55,-0.78,1.53,32.61,15.36,-13.17
-0.51,-0.81,1.53,31.02,33.06,-4.81
-0.54,-0.88,1.82,-4.44,-7.77,0.5
-0.68,-0.76,1.74,-23.85,-12.78,10.15
-0.75,-0.87,1.61,-29.46,-33.77,60.5
-0.54,-0.89,1.69,-21.71,-21.5,-4.56
-0.57,-0.8,1.7,-21.1,1.93,-16.65
-0.53,-0.91,1.75,-32.94,3.52,-13.23
-0.72,-0.72,1.76,-10.36,-3.13,9.9
-0.64,-0.83,1.74,-11.58,19.15,8.13
-0.69,-0.78,1.82,23.58,-11.37,-4.81
-0.44,-0.87,1.66,-7.55,-18.63,-8.77
-0.51,-0.81,1.64,-22.93,1.02,3.8
-0.69,-0.71,1.86,29.98,-4.66,6.79
-0.59,-0.73,1.73,3.25,-37.19,49.7
-0.48,-0.98,1.52,13.26,-34.87,32.97
-0.52,-0.94,1.7,5.94,1.14,-1.33
-0.5,-0.81,1.63,5.45,10.05,-3.95
-0.54,-0.86,1.69,1.73,2.42,-3.46
-0.51,-0.84,1.69,3.68,0.59,-4.07
