accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.57,-0.81,1.66,0.76,-3.06,-2.32
-0.58,-0.78,1.68,0.21,-2.26,0.18
-0.59,-0.8,1.7,-0.58,-3.06,0.73
-0.58,-0.8,1.66,-0.95,-5.31,-0.49
-0.57,-0.81,1.66,-3.81,-1.59,1.04
-0.57,-0.81,1.67,-4.0,-3.24,-1.34
-0.57,-0.83,1.66,-10.53,-4.76,-2.5
-0.57,-0.83,1.7,-18.71,5.92,-15.26
-0.38,-0.65,1.82,-38.36,10.56,14.04
-0.58,-0.79,1.73,-23.83,-11.91,6.77
-0.61,-0.82,1.75,-12.24,8.72,5.19
-0.66,-0.76,1.72,53.19,-18.5,-30.76
-0.55,-0.89,1.74,60.58,17.45,-34.12
-0.56,-0.86,1.84,17.79,-10.32,-7.51
-0.63,-0.8,1.87,15.41,-18.25,-6.71
-0.67,-0.89,1.78,-31.52,-26.31,24.96
-0.64,-0.87,1.6,-39.4,-11.42,-24.72
-0.74,-0.68,1.66,-25.79,-18.19,8.48
-0.67,-0.72,1.57,22.49,13.24,0.12
-0.66,-0.77,1.61,44.28,7.63,8.54
-0.61,-0.78,1.7,-1.07,-6.29,-1.95
-0.76,-0.68,1.77,2.29,-23.5,-10.62
-0.65,-0.74,1.7,4.85,-30.15,-32.96
-0.55,-0.79,1.61,8.09,-18.99,-12.09
-0.62,-0.75,1.66,3.88,6.95,-5.13
-0.67,-0.74,1.67,3.94,14.4,-18.86
-0.76,-0.82,1.71,16.02,-10.14,67.26
-0.57,-0.91,1.56,6.26,-2.26,-6.41
