accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.61,-0.76,1.67,1.63,-4.64,-1.01
-0.6,-0.76,1.64,1.76,-2.75,0.7
-0.6,-0.78,1.64,0.41,-1.96,-1.74
-0.61,-0.77,1.62,-6.3,2.5,-0.46
-0.61,-0.78,1.62,-5.93,-0.31,-8.33
-0.63,-0.79,1.69,-3.92,-2.45,-14.07
-0.6,-0.75,1.66,-9.17,-1.41,-21.27
-0.66,-0.76,1.65,-3.98,1.03,-22.37
-0.7,-0.7,1.66,-14.42,-10.38,3.2
-0.63,-0.77,1.7,-17.53,-17.34,6.26
-0.67,-0.74,1.7,-7.4,-2.32,0.82
-0.64,-0.76,1.7,-4.84,-4.28,4.91
-0.8,-0.6,1.62,24.95,-5.68,-9.55
-0.65,-0.73,1.68,32.33,-20.45,-11.63
-0.73,-0.68,1.53,38.19,-5.74,-11.99
-0.67,-0.7,1.61,28.79,-2.81,-8.94
-0.64,-0.73,1.62,11.64,-1.1,-5.28
-0.64,-0.73,1.57,3.04,-12.52,-6.99
-0.68,-0.7,1.62,-1.78,10.86,-5.95
-0.69,-0.61,1.7,8.78,-6.53,38.24
-0.61,-0.84,1.46,0.29,-22.83,12.85
-0.64,-0.67,1.64,9.57,6.53,-6.44
-0.65,-0.73,1.6,-4.29,-3.6,3.88
