accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.76,1.65,0.31,-1.88,-0.92
-0.58,-0.77,1.66,0.43,-0.72,-1.04
-0.58,-0.77,1.65,0.98,-1.76,-1.28
-0.57,-0.75,1.65,-2.38,0.01,-2.01
-0.58,-0.79,1.62,2.38,2.27,-3.3
-0.61,-0.83,1.65,-2.5,8.62,-5.68
-0.6,-0.69,1.7,2.26,4.96,-5.31
-0.61,-0.81,1.66,-3.05,-1.09,-7.32
-0.39,-0.66,1.73,-22.4,-1.82,12.02
-0.58,-0.82,1.78,-6.22,-15.37,3.97
-0.62,-0.77,1.7,-0.67,-9.75,6.77
-0.61,-0.73,1.57,37.9,-18.66,-20.51
-0.53,-0.8,1.76,40.96,-15.49,-16.54
-0.59,-0.78,1.69,-1.53,0.87,-3.91
-0.53,-0.83,1.73,-24.84,-13.9,10.99
-0.73,-0.63,1.6,-72.69,5.57,8.97
-0.65,-0.74,1.73,-14.28,-18.91,-5.25
-0.66,-0.7,1.61,10.44,18.75,-20.14
-0.57,-0.79,1.66,36.74,-7.98,-15.93
-0.62,-0.76,1.69,3.42,-7.31,-1.71
-0.6,-0.8,1.82,-28.44,-23.79,8.3
-0.64,-0.71,1.59,-40.77,-20.98,3.3
-0.58,-0.74,1.57,-13.18,-14.94,-7.08
-0.63,-0.67,1.51,4.7,21.98,-22.03
-0.61,-0.73,1.66,33.02,0.38,-13.79
-0.65,-0.73,1.67,10.93,3.55,-3.54
-0.65,-0.73,1.68,2.26,-5.3,0.06
