accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.78,1.66,1.56,0.87,-1.63
-0.57,-0.8,1.64,2.11,-2.31,-0.96
-0.57,-0.78,1.64,0.21,-2.37,-0.66
-0.57,-0.8,1.64,-0.21,-1.51,0.26
-0.58,-0.79,1.64,-2.04,0.68,-0.6
-0.62,-0.78,1.64,-7.11,5.63,-1.88
-0.57,-0.77,1.71,0.46,1.23,0.75
-0.56,-0.86,1.62,1.8,6.05,-10.0
-0.61,-0.75,1.72,0.21,-0.11,-15.49
-0.64,-0.8,1.63,-12.54,12.34,-28.18
-0.63,-0.81,1.76,-18.22,-20.01,5.02
-0.59,-0.76,1.7,-17.73,-7.98,0.08
-0.77,-0.64,1.58,21.33,-9.75,-14.27
-0.5,-0.9,1.81,44.83,-20.92,-16.1
-0.55,-0.84,1.74,3.51,0.99,-0.53
-0.55,-0.83,1.69,-10.89,-23.0,1.91
-0.68,-0.71,1.66,-53.44,-15.06,7.09
-0.66,-0.7,1.55,-40.62,-4.75,-14.94
-0.82,-0.64,1.76,-11.63,5.32,-15.24
-0.68,-0.69,1.57,27.13,3.67,-17.87
-0.54,-0.83,1.68,28.9,-2.37,-12.5
-0.6,-0.84,1.77,11.51,-7.5,-3.83
-0.65,-0.75,1.66,-0.82,-1.7,0.01
-0.64,-0.75,1.68,4.55,-6.15,-2.55
-0.58,-0.76,1.53,-22.25,28.82,-23.97
-0.79,-0.8,1.59,8.88,8.92,61.78
-0.66,-0.91,1.65,14.8,4.1,1.24
