accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.55,-0.81,1.63,2.2,-4.08,0.24
-0.56,-0.81,1.65,0.18,0.07,-2.32
-0.55,-0.8,1.64,-0.67,-3.34,-0.31
-0.57,-0.8,1.66,-3.54,-2.31,-2.56
-0.53,-0.82,1.63,-10.8,-4.2,-5.98
-0.54,-0.84,1.66,-3.11,4.47,-12.88
-0.54,-0.83,1.58,-9.15,0.26,-24.66
-0.62,-0.67,1.71,-24.11,-10.24,12.63
-0.52,-0.83,1.62,-22.83,-5.72,6.71
-0.56,-0.8,1.65,-9.58,7.46,10.5
-0.56,-0.75,1.61,11.78,-2.55,12.15
-0.59,-0.8,1.78,34.0,-4.5,5.74
-0.45,-0.88,1.81,42.73,-34.35,-18.25
-0.5,-0.85,1.67,11.54,-39.23,-28.87
-0.49,-0.89,1.66,-29.48,-26.6,-22.34
-0.52,-0.79,1.53,-39.06,-8.29,-2.81
-0.58,-0.71,1.46,-32.96,44.63,9.4
-0.58,-0.76,1.62,10.56,12.16,18.55
-0.61,-0.76,1.65,28.2,-4.32,-7.02
-0.6,-0.73,1.66,7.2,-26.35,36.19
-0.54,-0.96,1.55,13.18,-5.97,7.14
-0.55,-0.73,1.64,-3.42,4.71,-3.05
-0.54,-0.82,1.64,8.18,-3.04,5.98
