accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.57,-0.8,1.61,1.91,-5.38,-0.49
-0.57,-0.78,1.64,0.14,-5.01,-1.1
-0.58,-0.79,1.63,-0.53,-6.6,-1.71
-0.58,-0.8,1.53,-4.74,10.01,-5.62
-0.6,-0.8,1.67,2.46,8.3,-8.0
-0.59,-0.83,1.64,-12.01,0.85,-25.15
-0.66,-0.79,1.66,-7.61,-23.26,11.05
-0.6,-0.74,1.55,-21.71,-12.76,7.32
-0.58,-0.8,1.67,-7.25,2.13,7.14
-0.72,-0.61,1.43,18.75,-15.08,-16.48
-0.56,-0.78,1.5,53.18,2.93,-21.61
-0.53,-0.79,1.59,39.02,3.41,-6.23
-0.58,-0.78,1.65,11.98,-5.68,-9.89
-0.49,-0.85,1.69,-24.03,10.13,-16.17
-0.61,-0.87,1.59,-35.99,-14.35,47.0
-0.76,-0.82,1.46,-30.81,-11.05,-0.86
-0.7,-0.64,1.59,-43.01,-7.45,6.22
-0.57,-0.79,1.71,-29.04,-24.66,-2.93
-0.56,-0.73,1.45,-24.7,3.35,-13.79
-0.55,-0.79,1.56,26.99,-12.33,-24.29
-0.61,-0.81,1.73,33.83,-2.08,-1.59
-0.69,-0.78,1.95,14.18,7.2,7.02
-0.61,-0.78,1.66,12.28,-12.88,0.73
-0.33,-0.5,1.86,32.18,-15.63,-11.11
-0.61,-0.97,1.53,5.94,-21.98,53.71
-0.51,-0.79,1.62,-0.59,-3.79,-6.04
-0.58,-0.84,1.59,-1.02,7.26,15.2
