accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.8,1.6,2.37,-3.13,-0.81
-0.53,-0.81,1.6,2.55,-1.67,1.88
-0.53,-0.79,1.6,1.08,-3.13,-0.56
-0.53,-0.81,1.6,2.06,-4.17,1.51
-0.54,-0.8,1.61,0.35,-5.27,1.51
-0.53,-0.81,1.61,2.12,-3.25,0.96
-0.52,-0.8,1.6,1.39,-3.31,0.05
-0.52,-0.81,1.61,2.24,-4.29,2.12
-0.53,-0.81,1.62,1.39,-1.91,0.47
-0.53,-0.8,1.62,0.23,-4.6,2.0
-0.52,-0.82,1.59,1.82,-7.4,3.28
-0.51,-0.83,1.56,-3.13,-5.08,-3.68
-0.53,-0.8,1.61,1.76,1.02,-7.52
-0.56,-0.92,1.62,-1.78,-6.49,-27.05
-0.59,-0.73,1.56,-24.31,2.97,3.16
-0.51,-0.82,1.63,-15.09,-9.48,8.77
-0.57,-0.78,1.52,-1.11,14.94,20.55
-0.6,-0.72,1.63,41.92,4.32,20.74
-0.54,-0.82,1.66,33.43,-45.0,-17.9
-0.45,-0.85,1.66,2.06,-49.21,-17.41
-0.51,-0.73,1.37,-56.9,-8.62,2.12
-0.62,-0.74,1.54,-24.86,8.77,7.0
-0.52,-0.81,1.61,-2.64,-7.95,3.16
-0.54,-0.82,1.63,-9.47,21.34,2.36
-0.63,-0.65,1.48,18.05,3.34,-6.06
-0.65,-0.67,1.4,25.99,5.47,-9.96
-0.59,-0.76,1.57,37.4,3.4,-8.74
-0.56,-0.75,1.51,19.03,10.36,-11.06
-0.55,-0.82,1.67,21.17,-4.47,-7.03
-0.6,-0.75,1.59,15.98,-15.22,-1.97
-0.67,-0.74,1.67,-50.37,-23.58,-14.3
-0.55,-0.76,1.61,11.34,-26.45,-3.56
-0.59,-0.74,1.52,-2.09,6.94,-0.87
-0.58,-0.75,1.53,2.67,-11.98,-9.6
-0.66,-0.43,1.5,-22.66,-2.58,66.82
-0.57,-1.02,1.54,32.95,2.3,38.74
-0.5,-0.69,1.51,-2.39,-4.35,-1.48
