accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.56,-0.77,1.59,0.79,-1.76,-4.21
-0.55,-0.79,1.58,0.0,-3.71,-2.57
-0.56,-0.78,1.6,0.06,-1.7,-5.74
-0.52,-0.79,1.47,-8.0,-3.89,3.11
-0.64,-0.8,1.6,-7.08,2.76,-6.9
-0.56,-0.77,1.54,-1.77,-4.75,-18.31
-0.61,-0.81,1.57,-8.79,-6.82,-21.97
-0.64,-0.75,1.62,-16.97,-8.35,4.82
-0.55,-0.77,1.59,-4.46,-14.64,1.83
-0.73,-0.62,1.48,2.81,-3.83,-14.04
-0.53,-0.76,1.45,35.77,-33.74,-28.51
-0.48,-0.89,1.81,35.1,-19.46,-12.27
-0.58,-0.75,1.55,-1.59,4.22,-10.81
-0.73,-0.65,1.77,-49.87,-25.01,12.45
-0.61,-0.7,1.5,-32.65,-35.27,-10.07
-0.48,-0.77,1.44,0.55,6.42,-13.67
-0.58,-0.73,1.48,34.49,16.0,-12.51
-0.65,-0.78,1.59,13.12,-28.98,47.54
-0.58,-0.92,1.48,8.67,0.74,0.18
-0.54,-0.68,1.54,-4.94,-4.26,0.43
-0.55,-0.85,1.52,6.23,0.38,4.27
-0.53,-0.74,1.52,-6.35,-1.33,-8.91
-0.53,-0.77,1.54,2.44,-0.72,1.65
-0.55,-0.79,1.51,-0.49,-4.08,-6.59
-0.53,-0.74,1.56,-0.12,-5.79,-4.27
-0.51,-0.77,1.5,1.22,-2.12,-3.85
