accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.62,-0.77,1.65,3.48,-0.11,-5.77
-0.58,-0.74,1.57,0.79,-4.63,-2.41
-0.59,-0.76,1.61,0.43,-5.42,-10.77
-0.6,-0.78,1.59,-6.53,-0.11,-22.98
-0.61,-0.72,1.67,-3.66,0.2,-28.9
-0.64,-0.78,1.51,-0.67,-0.17,-36.65
-0.77,-0.68,1.73,-7.87,-8.59,4.12
-0.64,-0.7,1.59,-24.96,-2.37,6.01
-0.68,-0.71,1.67,-3.9,11.06,13.95
-0.67,-0.7,1.77,25.64,5.32,17.67
-0.7,-0.78,1.96,39.13,-17.14,3.45
-0.64,-0.74,1.65,17.27,-23.55,-10.65
-0.7,-0.72,1.84,-17.39,-50.4,-22.8
-0.56,-0.72,1.39,-18.68,-28.43,-30.18
-0.49,-0.72,1.54,12.39,-2.67,-23.22
-0.63,-0.67,1.42,20.57,19.97,-8.27
-0.59,-0.77,1.32,22.34,27.54,9.06
-0.74,-0.62,1.59,2.81,0.74,12.85
-0.63,-0.71,1.53,-0.49,15.64,0.64
-0.57,-0.51,1.67,21.61,-4.26,-9.98
-0.63,-0.8,1.5,19.59,-16.22,33.9
-0.59,-0.69,1.56,-6.71,-2.67,-2.29
-0.62,-0.7,1.61,10.38,5.38,10.77
