accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.75,1.64,-2.04,-5.13,0.37
-0.57,-0.74,1.62,1.07,-4.34,-0.61
-0.56,-0.84,1.63,-6.68,-0.67,-2.56
-0.57,-0.88,1.68,-19.62,-6.6,-8.06
-0.61,-0.69,1.6,-36.53,12.57,-51.45
-0.7,-0.66,1.75,-4.97,-0.61,-4.76
-0.39,-0.72,1.69,-24.44,-5.92,23.74
-0.81,-0.65,1.76,-22.06,-17.58,22.83
-0.62,-0.74,1.64,-15.84,-2.87,-1.04
-0.6,-0.65,1.55,19.38,-12.7,-22.4
-0.57,-0.82,1.85,85.18,-4.4,-36.5
-0.72,-0.72,1.55,62.71,-6.05,-11.35
-0.63,-0.81,1.85,-18.58,-51.46,-39.86
-0.58,-0.72,1.44,-53.86,-32.17,-19.65
-0.58,-0.54,1.52,-22.43,5.37,57.8
-0.67,-0.93,1.55,15.23,-8.55,39.49
-0.62,-0.75,1.58,-6.32,20.2,4.03
-0.64,-0.79,1.52,17.73,-1.41,-9.28
-0.69,-0.7,1.69,-8.64,4.33,13.98
-0.67,-0.7,1.67,8.39,-50.54,7.2
-0.74,-0.67,1.76,-29.27,-68.55,-27.59
-0.6,-0.73,1.58,-0.15,-11.66,-5.55
-0.61,-0.73,1.59,-1.43,5.92,1.65
-0.6,-0.73,1.59,-7.72,15.99,-6.9
-0.66,-0.67,1.56,31.95,9.82,-14.95
