accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.57,-0.79,1.63,1.63,-0.12,0.5
-0.55,-0.77,1.65,2.12,0.97,-4.81
-0.57,-0.8,1.66,4.93,3.72,6.67
-0.54,-0.79,1.67,8.1,0.3,1.91
-0.6,-0.87,1.67,1.94,4.09,-9.81
-0.59,-0.79,1.67,-0.07,1.95,-18.85
-0.06,-0.51,1.84,-9.84,-13.43,-10.67
-0.49,-0.89,1.71,-3.0,-39.86,14.48
-0.52,-0.78,1.66,-19.0,19.47,4.41
-0.61,-0.77,1.71,66.15,-42.73,-15.67
-0.33,-0.85,1.65,27.64,-31.07,-26.29
-0.55,-0.86,1.88,-12.1,-36.93,-24.28
-0.45,-0.89,1.7,-32.06,-27.71,-6.58
-0.59,-0.77,1.46,-67.7,22.52,23.09
-0.56,-0.74,1.61,-1.23,-8.06,0.44
-0.68,-0.63,1.47,17.38,-7.33,-19.94
-0.57,-0.76,1.53,43.08,5.49,-27.21
-0.61,-0.74,1.63,17.81,-14.77,-12.32
-0.57,-0.76,1.59,8.59,-2.38,-8.35
-0.57,-0.77,1.7,-4.59,3.29,-19.64
-0.68,-0.72,1.64,1.7,6.77,22.72
