accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.75,1.65,0.0,-5.42,-4.2
-0.58,-0.74,1.64,-1.71,-3.04,-1.88
-0.58,-0.76,1.61,-0.73,-2.12,-2.79
-0.6,-0.8,1.62,2.56,2.15,-6.27
-0.6,-0.76,1.56,7.75,-10.3,-11.09
-0.61,-0.76,1.7,-11.54,-9.57,-22.57
-0.62,-0.68,1.63,-2.99,-8.29,-16.16
-0.64,-0.77,1.65,-8.85,-9.33,-17.14
-0.68,-0.69,1.61,-15.5,-18.66,11.92
-0.73,-0.74,1.68,0.92,-36.3,3.98
-0.63,-0.74,1.63,-2.69,-12.68,-0.54
-0.71,-0.59,1.58,4.21,-28.0,1.48
-0.66,-0.65,1.54,32.78,-4.5,-22.45
-0.55,-0.76,1.56,26.98,11.3,-15.98
-0.59,-0.78,1.72,22.46,-1.7,-7.62
-0.63,-0.7,1.55,7.39,-23.36,-6.88
-0.68,-0.7,1.65,-35.64,-17.44,-7.86
-0.58,-0.63,1.27,-56.7,-50.4,-7.43
-0.67,-0.6,1.36,-11.17,-8.59,1.36
-0.62,-0.71,1.57,-1.28,-3.77,0.07
-0.62,-0.71,1.56,-1.95,0.62,-3.1
-0.67,-0.68,1.71,-19.71,50.12,-37.77
-0.9,-0.9,1.52,13.79,23.69,54.34
