accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.53,-0.8,1.59,1.45,-3.45,-2.09
-0.53,-0.79,1.59,0.23,-3.7,-0.81
-0.53,-0.79,1.6,-1.17,-4.67,-0.02
-0.52,-0.81,1.6,-5.63,-4.18,-3.56
-0.51,-0.81,1.59,1.94,-9.25,-1.85
-0.48,-0.78,1.61,-7.4,-15.72,8.47
-0.5,-0.8,1.55,-10.39,-3.7,11.64
-0.48,-0.83,1.6,-7.22,-5.89,1.27
-0.51,-0.8,1.56,-9.66,17.67,3.83
-0.64,-0.72,1.52,47.9,-2.96,-4.47
-0.58,-0.76,1.62,31.97,-28.48,-19.55
-0.44,-0.89,1.6,2.06,-30.67,-13.5
-0.47,-0.83,1.49,-54.82,-16.7,-4.53
-0.56,-0.74,1.49,-23.94,-5.71,1.27
-0.55,-0.71,1.48,-11.24,-1.01,-1.79
-0.64,-0.63,1.45,-5.69,9.91,2.98
-0.67,-0.68,1.53,25.86,-8.27,-18.63
-0.51,-0.79,1.59,28.31,-28.78,-18.75
-0.44,-0.85,1.56,-15.46,-46.42,-16.86
-0.4,-0.84,1.45,-58.36,-5.83,6.7
-0.67,-0.64,1.51,-21.38,17.42,6.03
-0.63,-0.66,1.55,34.29,6.68,-25.83
-0.55,-0.8,1.58,13.29,-0.52,27.15
-0.55,-0.92,1.53,6.7,-7.72,8.16
