accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.77,1.58,0.76,-3.97,-0.76
-0.57,-0.76,1.58,-2.41,-2.99,2.72
-0.51,-0.81,1.56,4.79,-18.99,10.04
-0.52,-0.84,1.38,4.12,5.0,8.94
-0.65,-0.85,1.8,1.62,14.83,-15.41
-0.57,-0.71,1.4,-8.82,-17.4,-39.95
-0.74,-0.7,1.7,-19.2,3.48,11.38
-0.54,-0.66,1.42,-30.24,-33.45,3.63
-0.65,-0.68,1.62,-16.45,-16.48,-25.24
-0.59,-0.69,1.44,34.58,2.62,-19.56
-0.53,-0.78,1.6,57.77,11.41,-0.64
-0.62,-0.76,1.77,12.85,16.11,2.65
-0.64,-0.74,1.6,12.73,-27.96,-0.89
-0.6,-0.76,1.66,-55.57,-58.78,-7.78
-0.5,-0.74,1.39,-46.84,-32.72,-1.92
-0.6,-0.7,1.46,-16.02,-0.61,1.13
-0.58,-0.73,1.54,-12.97,16.54,4.12
-0.58,-0.76,1.56,44.46,-1.41,-11.57
-0.63,-0.72,1.64,36.29,-4.58,-11.51
-0.65,-0.73,1.85,17.98,-37.23,-17.85
-0.59,-0.72,1.54,5.95,-8.37,-6.87
-0.63,-0.68,1.49,-27.68,11.11,-13.95
-0.64,-0.61,1.63,-8.45,9.7,53.5
-0.58,-0.87,1.41,7.72,-6.35,16.63
