accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.54,-0.78,1.57,-0.12,-6.44,0.47
-0.54,-0.77,1.57,-2.44,-6.38,4.44
-0.52,-0.78,1.59,-5.13,-3.58,0.9
-0.47,-0.82,1.63,-3.42,-14.44,4.01
-0.53,-0.8,1.63,-18.37,1.98,-6.85
-0.57,-0.77,1.57,-8.67,-7.36,8.35
-0.49,-0.8,1.49,-12.57,-1.32,-8.44
-0.65,-0.83,1.71,-3.11,-22.19,-4.84
-0.57,-0.69,1.51,-25.88,-11.14,19.03
-0.65,-0.64,1.56,-13.55,-14.26,15.0
-0.66,-0.57,1.45,3.66,-3.45,-2.03
-0.58,-0.79,1.67,39.86,-36.96,-18.45
-0.48,-0.8,1.57,18.37,-48.13,-11.12
-0.41,-0.86,1.59,-29.3,-32.81,-12.95
-0.54,-0.78,1.55,-23.38,12.97,7.49
-0.59,-0.6,1.39,-45.17,-10.72,7.68
-0.54,-0.79,1.58,-4.64,1.86,5.6
-0.5,-0.78,1.55,-8.73,1.19,8.04
-0.71,-0.61,1.52,46.39,-14.99,-20.71
-0.52,-0.79,1.52,64.15,24.68,-12.47
-0.48,-0.85,1.67,31.74,17.73,2.73
-0.39,-0.94,1.7,-9.58,-32.08,16.28
-0.84,-0.4,1.26,-48.71,-3.76,-4.59
-0.54,-0.79,1.43,9.28,-29.15,79.03
-0.45,-1.02,1.41,-4.15,-12.06,-2.27
-0.53,-0.65,1.53,-3.78,1.49,-12.16
-0.5,-0.83,1.52,7.75,-1.19,5.23
-0.48,-0.77,1.5,-5.25,-1.5,-9.84
