accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.55,-0.79,1.61,-0.12,-4.28,-2.17
-0.54,-0.78,1.62,0.31,-5.13,-1.44
-0.54,-0.79,1.6,-1.4,-5.25,0.15
-0.52,-0.78,1.63,-2.07,-9.65,2.84
-0.53,-0.84,1.57,-2.68,-1.41,8.27
-0.53,-0.87,1.61,-7.26,-13.49,5.03
-0.47,-0.78,1.61,2.08,-0.19,0.15
-0.54,-0.84,1.6,16.18,-10.14,0.52
-0.55,-0.83,1.64,12.27,7.2,-19.44
-0.8,-0.79,1.57,11.17,19.65,16.26
-0.53,-0.8,1.56,12.02,-64.33,2.59
-0.79,-0.62,1.92,27.04,-94.18,-0.15
-0.33,-0.85,1.4,-53.83,-72.94,-47.88
-0.46,-0.78,1.47,10.93,-27.41,-5.04
-0.48,-0.77,1.48,-26.49,52.0,-0.89
-0.64,-0.81,1.48,87.59,22.4,3.2
-0.58,-0.79,1.76,53.71,23.25,6.56
-0.54,-0.77,1.53,16.11,-49.69,-0.4
-0.65,-0.67,1.36,-26.31,-36.99,-20.97
-0.52,-0.74,1.62,3.3,-32.35,-12.73
-0.47,-0.76,1.3,-5.49,-17.52,-6.75
-0.53,-0.75,1.47,0.06,-8.92,-0.58
-0.45,-0.78,1.36,0.73,-8.43,-3.51
-0.54,-0.75,1.5,-6.04,5.18,-9.55
-0.52,-0.78,1.71,-8.12,10.74,-18.77
-0.56,-0.46,1.46,-3.05,31.0,66.74
-0.67,-1.05,1.55,7.81,-2.26,78.21
-0.45,-0.96,1.48,1.83,3.96,-27.25
-0.45,-0.65,1.55,-7.69,32.83,-13.83
-0.59,-0.88,1.55,-5.8,15.07,31.1
-0.46,-0.86,1.55,1.89,4.88,-11.08
-0.5,-0.74,1.61,2.44,15.07,-7.78
-0.53,-0.84,1.58,14.04,3.84,15.53
