accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.82,-0.32,0.75,11.55,-118.19,-3.47
-0.78,-0.39,0.69,11.74,-101.89,-5.06
-0.73,-0.4,0.71,10.33,-95.05,7.58
-0.65,-0.41,0.76,11.49,-124.96,12.95
-0.8,-0.27,0.76,16.56,-85.78,-11.83
-0.6,-0.32,0.71,11.86,-101.95,16.37
-0.76,-0.29,0.71,21.44,-113.3,9.53
-0.75,-0.28,0.72,7.53,-128.81,14.17
-0.65,-0.21,0.8,-17.38,-123.07,-24.34
-0.65,-0.3,0.78,1.12,-107.14,-9.02
-0.87,-0.41,0.64,-6.7,-75.4,-31.06
-0.54,-0.21,0.89,6.49,-64.29,-47.96
-0.64,-0.28,0.78,5.76,-98.96,-6.4
-0.7,-0.21,0.73,8.26,-73.94,2.82
-0.72,-0.28,0.72,9.54,-111.23,16.86
-0.7,-0.33,0.76,7.71,-88.77,11.0
-0.68,-0.4,0.84,-0.59,-63.56,3.73
-0.78,-0.28,0.67,-6.33,-88.77,-11.59
-0.73,-0.29,0.72,-1.75,-117.21,-5.85
-1.16,-0.41,0.33,16.31,-86.02,-35.45
-0.58,-0.27,0.83,16.99,-95.36,-41.19
-0.71,-0.32,0.75,27.67,-104.82,-31.85
-0.72,-0.32,0.74,3.86,-81.99,-15.13
-0.75,-0.31,0.71,3.62,-102.44,-4.2
-0.99,-0.22,0.85,-12.37,-106.29,13.68
-0.78,-0.28,0.79,-33.61,-119.53,-39.79
-0.58,-0.39,0.78,-32.57,-106.16,-53.33
-0.63,-0.37,0.93,-14.26,-97.44,-37.89
-0.67,-0.45,0.87,-17.32,-110.86,-35.21
-0.59,-0.5,0.9,-15.67,-124.6,-14.27
-0.71,-0.51,0.88,-22.81,-133.45,-11.77
-0.76,-0.52,0.84,-17.01,-132.96,-1.45
