accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.62,-0.01,1.02,-6.18,-12.91,-29.1
0.59,-0.02,1.02,-14.42,-0.4,-10.91
0.65,0.02,1.03,-30.66,31.77,2.58
0.57,0.04,0.97,-23.82,15.47,29.07
0.52,0.01,0.93,-9.48,-18.34,48.6
0.49,-0.02,0.96,14.33,-16.82,7.83
0.51,-0.07,0.99,17.32,-1.56,-23.06
0.61,-0.09,1.09,-4.59,3.08,-44.97
0.66,0.06,0.99,-10.03,-17.31,-33.92
0.63,0.05,0.98,-9.05,4.36,-9.88
0.57,0.03,0.99,-1.6,37.44,-12.56
0.54,0.01,0.95,1.02,-9.86,16.74
0.54,-0.01,0.97,13.53,-8.46,1.72
0.46,-0.08,0.97,18.42,-20.6,-17.69
0.63,-0.01,1.03,11.4,-13.46,-35.88
0.62,0.02,1.0,-2.09,-7.54,-9.81
0.55,-0.01,0.98,-3.07,-10.1,1.48
0.58,-0.03,0.98,2.36,-11.69,-4.93
0.71,0.01,1.02,-62.27,-43.98,-7.01
0.66,-0.18,0.96,-23.51,-14.87,2.82
0.59,-0.05,1.04,-7.58,9.91,-2.86
0.54,-0.05,1.01,-5.45,-2.29,-2.61
0.62,-0.07,1.07,-9.78,2.83,-3.95
0.56,-0.03,1.09,-17.11,11.07,-10.91
0.5,-0.02,1.1,-36.64,-6.63,-25.13
0.44,-0.21,0.96,-39.99,27.68,-32.46
0.58,-0.18,1.08,-33.95,23.28,-46.86
0.41,-0.27,0.99,-34.62,5.83,-31.3
0.45,-0.27,1.02,-16.98,12.36,-30.5
0.43,-0.32,1.04,-13.26,-12.06,-17.08
0.51,-0.32,1.09,-5.45,-0.4,-6.4
0.43,-0.28,1.07,3.16,10.65,-6.46
0.44,-0.27,1.09,-1.42,-1.99,-6.76
0.43,-0.29,1.07,-3.13,1.8,-8.59
0.47,-0.29,1.09,-6.24,-3.09,-5.24
0.44,-0.31,1.04,-5.51,0.27,-1.39
