accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.08,-0.24,0.89,35.81,13.43,1.49
0.42,-0.5,1.07,1.15,28.26,18.04
0.42,-0.4,0.73,51.5,31.55,65.34
0.31,-0.08,1.03,62.3,-17.46,99.82
0.38,-0.11,0.69,31.42,-78.55,86.88
0.29,0.16,1.09,74.51,-41.93,51.54
0.51,0.09,0.92,-4.23,-5.92,21.03
0.32,0.06,0.83,23.18,0.91,40.19
0.6,0.06,0.89,10.54,11.35,6.01
0.33,0.1,0.86,9.69,3.72,-3.02
0.55,0.05,0.84,-12.89,5.61,-11.2
0.47,0.06,0.87,5.05,8.48,-8.82
0.44,0.09,0.85,0.72,0.79,-14.92
0.42,0.01,0.82,9.63,7.2,-3.14
0.41,0.13,0.86,-4.78,19.71,-19.68
0.42,0.05,0.85,-8.19,19.65,-15.23
0.37,0.04,0.84,-1.36,27.46,-25.54
0.43,0.16,0.8,12.86,-12.7,2.78
0.37,0.08,0.8,9.81,-26.0,20.29
0.34,-0.01,0.87,6.52,-20.63,17.06
0.36,0.06,0.85,0.47,-16.66,4.67
0.37,0.03,0.86,-15.21,-3.91,-22.19
0.48,0.15,0.85,-0.62,12.02,-25.42
0.3,0.1,0.74,6.33,10.13,-20.42
0.52,0.07,0.95,24.52,-15.93,-25.54
0.4,0.06,0.86,17.14,-5.5,2.47
0.41,0.03,0.89,7.68,-15.99,13.76
0.41,0.02,0.88,-10.45,9.09,16.51
0.42,0.05,0.85,-20.64,20.14,6.26
0.3,0.05,0.8,-5.39,14.77,0.4
0.36,0.05,0.83,-4.35,-12.21,8.57
0.4,0.17,0.97,-18.2,-15.08,-16.82
0.38,-0.02,0.79,-24.79,-33.88,-8.7
0.51,-0.04,0.92,-0.62,-6.23,-15.66
0.33,0.03,0.87,-6.61,19.65,-21.27
0.33,0.05,0.89,-21.13,-7.33,-35.49
0.3,-0.0,0.94,-35.48,-14.77,-75.53
0.37,-0.27,0.91,-43.04,-13.49,-57.04
0.3,-0.31,0.93,-23.57,7.51,-24.08
0.28,-0.33,0.91,-9.29,-1.1,5.28
0.28,-0.28,0.94,1.27,5.12,-4.36
0.3,-0.26,0.94,-0.81,-0.12,2.53
0.29,-0.25,0.95,1.69,-1.77,0.09
0.29,-0.27,0.93,1.02,2.93,0.64
0.28,-0.26,0.93,2.92,1.4,-2.29
0.29,-0.27,0.93,-0.69,1.4,1.13
