accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.5,-0.33,1.09,30.43,-32.29,14.46
0.44,-0.25,1.08,42.33,116.57,-11.6
0.45,-0.25,1.04,42.27,92.65,-0.85
0.54,-0.3,0.93,15.84,40.89,37.66
0.4,-0.16,0.87,10.41,-4.64,35.4
0.29,-0.03,0.71,20.36,-37.84,68.05
0.36,0.24,1.27,-22.12,-72.33,45.96
0.6,-0.21,0.83,-1.74,-47.12,49.99
0.71,-0.13,1.14,46.6,38.27,6.41
0.37,0.01,0.89,-26.95,-2.87,30.88
0.73,0.01,1.04,22.13,-42.18,2.62
0.43,-0.05,0.91,6.87,-15.99,-29.42
0.39,0.14,1.35,15.17,4.82,-28.75
0.53,-0.07,0.98,-1.07,2.62,-32.04
0.56,-0.03,0.97,-8.57,44.31,-19.1
0.54,-0.0,0.97,-23.96,4.88,50.9
0.53,-0.04,0.93,-14.19,-18.5,54.99
0.36,-0.08,0.9,5.71,-15.75,30.7
0.42,-0.12,0.94,32.2,-34.79,-51.39
0.57,-0.06,1.01,14.19,-13.0,-41.44
0.61,-0.02,1.01,6.87,5.25,-25.51
0.48,-0.05,0.96,-12.18,41.81,-1.47
0.41,0.05,1.02,-57.83,-20.21,-5.74
0.61,-0.15,0.98,-42.82,-45.84,0.49
0.53,-0.21,0.98,-14.07,21.91,-5.98
0.52,-0.13,1.02,2.9,15.07,-6.71
0.44,-0.1,0.99,-2.04,-5.5,5.31
0.58,-0.15,1.04,-2.17,11.29,-5.07
0.45,-0.14,1.0,0.15,7.26,-1.77
0.52,-0.14,1.02,-1.68,-7.82,-4.39
0.49,-0.13,1.02,-1.13,-1.77,-1.59
