accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.17,-0.07,0.89,47.0,14.71,-30.99
0.21,-0.01,0.99,5.07,1.71,-23.97
0.15,-0.15,0.58,68.54,23.8,-30.87
0.17,0.01,0.75,54.02,19.22,-6.03
0.29,0.06,0.72,139.47,53.95,20.64
0.18,0.35,1.0,102.23,49.31,13.93
0.18,0.36,0.82,48.89,20.38,32.18
0.09,0.43,0.73,52.37,48.4,-30.87
0.01,0.38,0.54,20.94,17.39,3.19
0.1,0.51,0.69,54.81,5.86,-4.62
0.04,0.59,0.6,-10.19,26.18,-17.56
0.19,0.59,0.64,-1.59,-5.5,-7.86
-0.0,0.53,0.53,9.71,7.69,-9.81
0.07,0.51,0.63,26.73,-40.96,11.31
0.02,0.39,0.62,12.82,-71.72,23.21
0.03,0.3,0.74,-7.51,-3.24,1.17
-0.0,0.37,0.66,-17.46,19.65,-13.9
0.22,0.52,0.68,-15.62,-11.9,-15.43
0.09,0.5,0.64,-24.54,22.89,20.71
0.14,0.5,0.67,-20.02,6.59,33.83
0.06,0.46,0.64,-7.51,-14.59,32.61
0.02,0.42,0.65,6.35,-5.43,14.6
0.02,0.4,0.66,22.58,-34.43,-29.95
0.29,0.43,0.8,3.78,-11.11,-26.54
0.17,0.48,0.69,-0.79,5.19,-9.38
0.09,0.44,0.67,-4.94,22.21,0.14
0.09,0.54,0.75,-6.71,3.66,6.67
0.03,0.46,0.62,-47.85,-18.43,-10.67
0.1,0.32,0.69,-37.41,12.33,-35.2
0.1,0.34,0.72,-24.35,45.04,-72.07
-0.13,0.34,0.65,-35.46,36.56,-86.35
-0.03,0.2,0.69,-47.24,19.41,-62.67
-0.04,0.07,0.7,-36.44,-4.64,-23.79
-0.18,0.12,0.71,-22.95,21.73,-20.07
-0.08,0.03,0.69,-15.56,-17.03,-0.84
-0.06,0.07,0.73,-0.12,2.44,-0.11
