accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.27,-0.27,0.94,11.14,1.9,39.43
0.11,-0.2,0.93,8.76,-9.26,65.49
0.12,-0.09,1.0,4.67,-10.61,14.16
0.18,-0.24,0.88,5.34,-17.81,26.98
0.18,-0.24,0.89,19.38,-13.66,12.51
0.16,-0.17,0.88,25.97,4.47,10.68
0.17,-0.14,0.89,20.72,-7.31,10.25
0.31,-0.15,0.84,24.99,-9.51,5.0
-0.03,0.04,1.17,17.06,4.35,-5.86
0.23,-0.11,0.85,1.68,-11.83,-9.16
0.08,-0.14,0.84,8.21,-26.84,-5.25
0.21,-0.19,0.92,-0.58,-23.61,-16.97
0.27,-0.09,0.87,-10.22,25.28,-27.41
0.19,-0.1,0.83,-16.82,27.54,-1.47
0.24,-0.12,0.89,-13.64,-4.38,35.22
0.14,-0.11,0.83,-4.18,-9.26,30.39
0.2,-0.12,0.85,5.83,-16.41,39.43
0.15,-0.12,0.83,10.16,-3.47,18.37
0.12,-0.12,0.85,6.99,-13.66,-7.08
0.23,-0.1,0.85,6.93,-18.05,-41.32
0.33,-0.12,0.91,6.19,-17.08,-35.71
0.27,-0.09,0.85,-1.98,1.17,-16.97
0.2,-0.11,0.85,-6.26,11.98,-6.23
0.2,-0.11,0.86,-3.14,15.27,-6.41
0.19,0.01,0.99,-21.82,8.68,-10.74
0.14,-0.16,0.81,-34.52,-5.79,0.36
0.18,-0.15,0.91,-22.0,30.04,-12.82
0.14,-0.07,0.95,-37.81,31.08,-20.94
0.16,-0.21,0.93,-53.5,-17.2,-20.39
0.24,-0.32,0.9,-62.04,-16.22,-18.62
0.14,-0.35,0.96,-60.7,-31.6,-16.3
0.15,-0.45,0.92,-60.82,-43.75,-11.96
0.14,-0.44,1.22,-16.57,-5.11,-4.52
0.17,-0.58,0.9,-10.53,12.77,-8.55
0.13,-0.41,1.06,7.11,10.33,2.13
0.15,-0.41,0.99,6.87,-4.32,-2.2
0.19,-0.41,1.05,-3.45,-5.79,6.71
