accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.42,-0.54,1.11,-20.54,-41.34,-3.05
0.44,-0.57,1.16,-2.59,5.35,-12.88
0.22,-0.6,1.0,26.95,-2.16,-11.84
0.27,-0.52,1.02,11.87,26.23,-10.5
0.13,-0.53,0.96,61.37,64.37,-36.07
0.18,-0.34,1.23,19.32,43.01,-18.49
0.33,-0.6,0.93,4.06,52.53,2.08
0.25,-0.59,0.9,40.8,69.38,42.91
0.12,-0.33,1.0,50.69,-14.55,58.04
0.32,-0.32,1.03,0.4,-5.33,15.32
0.22,-0.38,0.88,25.73,-12.23,27.83
0.24,-0.25,0.99,28.9,-26.81,13.37
0.27,-0.26,0.98,21.39,-19.61,6.41
0.22,-0.25,0.97,12.24,6.02,1.04
0.39,-0.35,0.97,41.66,3.7,-19.59
0.3,-0.3,0.93,47.03,41.97,-6.23
-0.02,-0.14,0.65,-40.43,-45.06,-7.87
0.43,-0.4,0.92,-30.91,-36.88,-0.85
0.24,-0.33,0.93,3.15,24.94,-6.29
0.16,-0.29,0.96,6.07,-27.67,3.91
0.25,-0.28,0.98,4.73,-30.35,-8.3
0.38,-0.27,0.98,8.88,-13.08,-6.35
0.27,-0.29,0.93,1.68,-5.7,-3.97
0.29,-0.33,0.98,14.13,1.32,-13.55
0.26,-0.27,0.96,17.98,10.11,-18.8
0.15,-0.25,0.96,7.78,-2.7,-17.03
0.26,-0.34,0.93,12.36,-11.49,-20.87
0.19,-0.23,0.98,-3.63,19.02,-55.18
0.27,-0.27,0.96,-13.76,76.58,-30.09
0.24,-0.2,0.94,-27.56,19.21,23.56
0.13,-0.22,0.86,-2.04,-31.09,53.95
0.24,-0.17,0.87,32.5,-38.96,36.25
0.28,-0.3,0.97,42.94,-45.8,27.16
0.24,-0.32,0.98,9.49,-17.72,12.88
0.25,-0.25,0.97,-6.8,7.06,17.88
0.24,-0.09,1.1,-25.72,15.3,3.91
0.27,-0.41,0.78,-37.75,14.51,3.97
0.29,-0.31,0.87,9.92,46.67,0.18
0.17,-0.21,0.92,-4.36,47.65,-21.06
-0.16,-0.26,0.75,5.4,-50.19,-0.55
0.25,-0.26,0.94,58.32,-49.76,-99.67
0.33,-0.31,1.02,15.47,-28.58,-14.89
0.22,-0.27,0.93,7.91,1.08,-8.48
0.24,-0.26,0.95,-8.15,16.58,38.82
0.18,-0.23,0.96,-108.18,-39.63,11.23
0.21,-0.39,0.92,-71.26,-1.91,1.83
0.35,-0.48,1.02,-79.13,-51.11,-1.71
0.24,-0.61,0.93,-57.16,-77.17,24.11
0.32,-0.59,1.14,-34.39,10.11,-22.4
0.19,-0.73,0.94,-34.15,-47.44,21.06
0.13,-0.56,1.22,-23.16,17.38,-0.37
