accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.48,-0.26,1.1,12.79,-0.0,2.33
0.44,-0.26,1.08,12.48,1.34,0.81
0.36,-0.25,1.08,18.34,-13.8,-0.78
0.44,-0.23,0.97,41.05,37.84,14.72
0.64,-0.31,0.81,44.89,23.31,59.83
0.58,-0.18,0.72,77.55,-6.41,85.65
0.59,0.13,1.09,33.72,-51.27,61.78
0.59,0.11,1.04,-6.8,-19.17,-1.57
0.53,-0.03,0.86,2.6,-16.55,1.24
0.63,-0.04,0.95,27.44,-17.16,-2.06
0.59,-0.02,0.9,37.14,-17.95,-12.99
0.52,0.04,0.91,-4.3,1.28,-36.91
0.59,0.06,0.95,-18.64,36.68,-11.15
0.6,0.11,0.96,-25.6,-8.0,38.71
0.55,0.13,0.88,-7.72,-35.89,49.15
0.41,-0.03,0.92,17.37,-36.75,5.32
0.62,-0.04,1.04,11.26,14.77,-55.89
0.63,0.11,0.96,-3.87,11.47,-29.4
0.55,0.04,0.92,-2.84,17.94,-1.15
0.56,0.09,0.95,20.3,-36.44,9.17
0.57,0.12,0.85,35.92,-61.28,11.92
0.7,0.01,1.07,30.43,-26.01,11.24
0.63,0.04,1.01,-2.59,0.42,41.21
0.32,-0.01,0.88,-20.23,25.57,7.7
0.54,0.07,0.95,-23.53,16.47,-37.52
0.49,0.15,0.83,6.14,19.22,-81.83
0.73,0.08,1.06,27.31,0.48,-61.26
0.51,0.03,0.95,9.13,32.59,-28.79
0.44,-0.01,0.92,-5.64,35.15,-3.89
0.3,0.14,1.14,-18.34,7.44,26.87
0.41,0.08,0.97,-56.79,-19.35,-18.97
0.49,-0.08,0.95,-46.23,17.63,-38.99
0.59,-0.17,0.96,-69.73,-50.72,-12.19
0.34,-0.23,0.89,-47.58,-55.06,4.9
0.46,-0.26,1.05,-45.68,-34.67,5.51
0.31,-0.29,0.99,-8.57,-17.58,9.35
0.48,-0.29,1.01,-17.24,-23.44,0.14
