accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.15,-0.28,0.87,2.11,-17.12,14.91
-0.16,-0.27,0.86,10.22,0.76,13.08
-0.22,-0.23,0.86,7.48,2.9,5.57
-0.21,-0.24,0.87,2.9,-3.51,7.34
-0.2,-0.27,0.85,12.18,3.14,0.5
-0.22,-0.24,0.83,22.0,24.5,-19.52
-0.26,-0.21,0.85,22.0,19.19,-23.12
-0.3,-0.27,0.76,8.94,20.47,-22.63
-0.22,-0.25,0.81,27.01,16.45,-23.48
-0.22,-0.18,0.79,20.42,10.95,-16.16
-0.28,-0.13,0.76,12.42,-1.8,2.21
-0.32,-0.2,0.74,0.52,-11.39,-0.47
-0.3,-0.2,0.8,3.02,-12.61,4.59
-0.29,-0.2,0.77,3.57,-9.31,9.48
-0.27,-0.19,0.76,5.95,-8.94,3.49
-0.28,-0.18,0.77,3.82,-8.52,0.5
-0.28,-0.2,0.75,5.4,-9.37,1.3
-0.27,-0.18,0.77,6.07,-5.47,0.69
-0.27,-0.18,0.76,3.57,-7.48,2.95
-0.25,-0.17,0.78,7.42,-9.74,3.19
-0.28,-0.18,0.75,7.11,-6.93,5.33
-0.26,-0.16,0.78,6.62,-16.15,4.96
-0.22,-0.16,0.78,6.13,-8.09,1.97
-0.22,-0.15,0.79,2.05,3.26,8.62
-0.27,-0.19,0.76,-5.95,10.83,5.45
-0.24,-0.2,0.71,6.44,17.61,3.8
-0.3,-0.13,0.74,-8.88,2.96,-6.09
-0.21,-0.08,0.73,-2.41,0.64,-9.69
-0.25,-0.04,0.67,23.1,-61.92,15.4
-0.25,-0.18,0.76,28.17,-37.02,30.9
-0.29,-0.27,0.82,3.27,26.21,-0.05
-0.46,-0.3,0.75,-17.73,-8.09,4.35
-0.15,-0.07,0.77,-2.65,-23.78,-32.46
-0.23,-0.03,0.66,12.06,14.55,-44.6
-0.27,-0.07,0.73,21.94,-8.58,-5.48
-0.27,-0.17,0.8,21.27,-13.64,12.41
-0.35,-0.22,0.75,13.09,-21.15,6.49
-0.33,-0.23,0.76,-14.92,1.61,7.95
-0.27,0.25,1.1,-48.06,34.39,12.65
-0.26,-0.17,0.7,-73.33,-17.43,-4.87
-0.19,-0.24,0.84,-53.13,34.51,-29.4
-0.22,-0.29,0.79,-18.16,55.08,-42.34
-0.39,-0.31,0.8,-35.86,-16.57,1.05
