accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.08,-0.42,1.03,-1.46,1.55,-1.66
0.11,-0.46,1.01,-0.79,-3.27,-2.76
0.09,-0.42,1.04,-1.59,-0.7,-1.3
0.05,-0.41,1.07,-22.16,-26.22,-10.76
0.06,-0.45,1.06,-47.91,-53.56,-5.94
0.22,-0.58,1.04,-4.46,-21.09,-31.45
0.04,-0.55,1.03,12.39,47.21,-48.11
0.07,-0.45,1.13,28.69,23.95,-57.45
-0.12,-0.45,0.96,27.83,126.19,-80.77
-0.09,-0.57,0.77,56.34,163.42,-60.01
-0.16,-0.41,0.95,67.02,141.14,-50.55
-0.28,-0.41,0.91,17.58,46.72,9.08
-0.25,-0.39,0.82,23.86,-6.2,19.15
-0.21,-0.3,0.9,17.64,-2.17,6.45
-0.23,-0.33,0.68,35.89,5.7,17.32
-1.27,0.69,2.55,54.26,-14.25,17.2
-0.33,-0.23,0.71,-10.56,8.7,-7.52
-0.24,-0.25,0.8,8.61,10.16,0.29
-0.39,-0.31,0.7,-2.93,1.86,18.66
-0.34,-0.37,0.78,0.06,1.49,21.89
-0.34,-0.31,0.77,-0.73,-2.23,18.23
-0.33,-0.24,0.81,-18.92,-20.66,13.66
-0.2,-0.34,0.78,-47.18,-16.94,-13.57
-0.22,-0.39,0.73,-11.47,16.51,-21.62
-0.22,-0.25,0.85,-10.74,16.39,-15.76
-0.29,-0.36,0.8,-2.26,21.39,-8.93
-0.26,-0.39,0.74,29.42,12.66,1.14
-0.33,-0.34,0.79,6.77,2.29,-26.75
-0.36,-0.34,0.75,10.86,13.46,-15.58
-0.36,-0.35,0.75,-3.05,8.02,-8.38
-0.39,-0.35,0.75,-8.67,7.96,0.11
-0.36,-0.35,0.75,-16.17,15.16,2.3
-0.44,-0.24,0.81,-50.29,-36.84,5.54
-0.28,-0.35,0.81,-49.13,8.51,-23.88
-0.2,-0.39,0.9,-29.24,15.9,-27.79
-0.2,-0.39,0.91,-49.44,-40.32,-3.25
-0.1,-0.59,0.81,-82.34,-99.64,28.55
-0.17,-0.58,0.96,-50.42,-67.05,-10.7
-0.32,-0.71,0.84,-36.8,-70.47,9.14
-0.1,-0.44,1.31,-51.88,-1.56,-28.64
-0.31,-0.66,0.76,56.95,-7.3,6.7
