accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.2,-0.52,1.07,-0.92,-3.76,-2.23
0.19,-0.52,1.07,-1.04,-2.48,-3.02
0.2,-0.51,1.07,-1.77,-5.95,-2.29
0.19,-0.52,1.09,-3.05,-2.72,-3.51
0.18,-0.51,1.09,-10.8,-7.97,-0.58
0.13,-0.54,1.1,-13.98,-4.73,-12.36
0.1,-0.5,1.17,-32.96,-17.92,-15.53
0.08,-0.6,1.08,-54.81,-47.58,-27.62
0.26,-0.67,1.13,8.97,-29.09,-57.16
0.21,-0.72,1.2,1.22,42.81,-59.85
0.09,-0.73,1.01,56.82,80.04,-66.44
-0.15,-0.43,1.24,42.73,174.1,-90.61
-0.03,-0.7,0.89,28.26,110.13,-46.11
-0.07,-0.61,0.98,42.79,66.74,-10.29
-0.12,-0.57,0.89,31.43,12.84,7.6
-0.08,-0.49,1.0,33.26,26.27,-17.61
-0.18,-0.59,0.68,45.65,24.87,4.24
-0.22,-0.4,0.84,43.4,-1.62,8.09
-0.26,-0.46,0.71,-6.9,-23.84,-13.83
-0.24,-0.49,0.78,-8.3,12.84,-13.95
-0.31,-0.42,0.68,21.36,-45.08,7.35
-0.21,-0.52,0.89,26.18,-6.38,5.16
-0.15,-0.47,0.88,10.93,-29.33,2.41
-0.19,-0.5,0.86,-5.98,-12.55,17.55
-0.36,-0.55,0.75,-30.46,16.38,4.0
-0.16,-0.46,0.89,-38.57,0.09,29.14
-0.38,-0.56,0.77,-16.42,-16.7,52.09
-0.12,-0.45,0.81,-63.05,-40.44,-1.25
-0.06,-0.58,0.8,-8.42,-0.52,-14.92
0.07,-0.51,0.95,5.49,17.06,-12.36
-0.21,-0.43,0.74,24.05,19.07,5.71
-0.16,-0.37,0.87,-13.37,-70.53,-37.32
-0.22,-0.51,0.9,37.66,-8.15,-11.08
-0.19,-0.43,0.81,4.76,47.45,-25.18
-0.22,-0.47,0.81,-33.57,20.47,11.63
-0.18,-0.47,0.87,-47.24,16.69,38.54
-0.18,-0.48,1.0,-48.22,-15.96,-26.4
-0.15,-0.59,0.82,-41.32,5.76,-28.05
-0.16,-0.6,0.94,-25.27,30.54,-27.56
-0.2,-0.66,0.92,-28.01,-22.07,-5.1
-0.16,-0.68,0.9,-14.71,-20.18,-4.73
