accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-1.16,-0.58,1.15,18.44,-41.02,-2.61
-1.16,-0.67,1.04,3.36,-6.54,3.37
-1.17,-0.63,1.07,8.06,2.8,-12.32
-1.14,-0.67,1.02,17.83,-30.34,-3.59
-1.22,-0.61,1.06,12.52,-4.59,-7.8
-1.18,-0.69,1.02,6.17,-16.3,7.34
-1.21,-0.65,0.95,38.94,-17.46,7.4
-1.24,-0.58,0.96,33.69,-52.68,4.9
-1.08,-0.58,1.04,53.9,-19.84,-14.82
-0.89,-0.55,1.18,-9.4,-13.86,13.44
-1.23,-0.45,1.17,-19.96,-21.0,-0.35
-1.18,-0.63,0.97,-31.98,-38.77,-3.34
-0.97,-0.73,1.08,-1.58,-46.52,11.79
-1.07,-0.62,1.1,23.14,13.36,8.25
-1.09,-0.51,1.08,12.03,-4.22,0.38
-1.11,-0.66,1.06,-4.88,-33.88,4.53
-1.1,-0.62,1.07,7.14,-6.66,-15.49
-1.05,-0.62,1.22,-9.7,-14.6,-24.16
-1.12,-0.55,1.03,-7.69,9.64,-23.67
-1.09,-0.51,1.05,18.92,-18.38,3.31
-0.99,-0.59,1.16,39.19,-15.21,18.14
-1.18,-0.68,1.1,21.98,-26.25,23.09
-1.3,-0.91,1.15,5.8,-20.45,17.78
-1.02,-0.34,1.21,-51.82,-22.77,0.99
-1.06,-0.79,0.97,-15.44,-22.04,-20.01
-0.98,-0.61,1.06,48.1,29.35,-30.26
-1.11,-0.62,1.09,-0.3,1.21,-17.38
-1.04,-0.66,1.18,7.39,0.79,19.06
-1.3,-0.69,0.96,5.19,21.9,0.38
-1.24,-0.65,1.0,3.67,-11.85,5.02
-1.11,-0.53,1.0,41.26,-21.13,-30.5
-1.13,-0.66,1.09,40.04,-26.74,-3.53
-1.14,-0.62,1.06,12.52,-8.0,-5.54
-1.11,-0.56,1.1,-1.58,-21.68,12.4
-1.26,-0.44,1.17,-60.6,-42.79,-11.77
-1.07,-0.68,1.03,-66.53,-14.29,-24.58
-1.01,-0.71,1.15,-28.44,13.05,-29.28
-0.91,-0.81,1.15,-33.93,-39.13,12.1
-1.2,-0.7,1.11,14.22,-7.27,-11.46
