accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.48,-0.62,0.92,-29.05,98.4,2.06
-0.28,-0.52,0.86,-4.46,78.63,0.66
-0.52,-0.49,0.83,-7.45,93.64,-31.45
-0.54,-0.45,0.91,15.38,-12.32,-18.39
-0.47,-0.49,0.94,19.35,26.32,-34.86
-0.44,-0.48,0.87,-7.2,-1.88,-28.94
-0.72,-0.28,0.99,88.99,5.26,-43.78
-0.54,-0.42,0.75,1.95,11.49,-33.95
-0.48,-0.41,1.0,6.1,-4.26,-19.79
-0.54,-0.48,0.8,-1.95,28.88,-18.32
-0.51,-0.43,0.81,-5.92,31.39,-25.47
-0.67,-0.34,0.77,14.83,2.46,-17.96
-0.6,-0.38,0.71,12.33,12.34,-27.66
-0.5,-0.4,0.75,27.34,4.65,-17.29
-0.62,-0.31,0.75,-12.7,32.3,-47.87
-0.57,-0.38,0.77,-1.89,12.95,-32.24
-0.55,-0.21,0.72,5.61,-2.31,1.15
-0.66,-0.37,0.68,27.95,-64.68,17.87
-0.5,-0.39,0.84,11.53,-24.95,7.13
-0.63,-0.43,0.77,0.79,4.84,-14.3
-0.54,-0.3,0.75,-0.55,-16.16,-19.06
-0.46,-0.28,0.78,-19.84,17.16,-18.45
-0.62,-0.24,0.8,-71.66,17.78,-59.46
-0.38,-0.36,0.78,-51.45,-22.51,-72.4
-0.49,-0.43,0.83,-36.13,42.07,-76.67
-0.5,-0.38,0.82,-33.33,43.29,-90.96
-0.58,-0.55,0.87,-40.53,-24.28,-33.83
-0.52,-0.55,0.84,-24.6,-16.53,-28.7
