accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.56,-0.62,1.07,14.51,107.38,-33.87
-0.64,-0.52,1.11,4.01,64.96,-19.28
-0.6,-0.62,0.91,18.6,100.55,-8.72
-0.69,-0.59,0.93,18.42,69.48,-11.35
-0.87,-0.43,1.07,8.84,43.23,5.13
-0.76,-0.51,0.96,5.54,34.81,-0.24
-0.78,-0.51,0.89,15.67,30.42,18.32
-0.85,-0.44,0.85,17.87,-4.31,-7.62
-0.66,-0.53,0.86,29.28,-18.29,-13.36
-0.95,-0.36,1.03,-21.32,18.76,-49.0
-0.77,-0.42,0.85,1.08,10.95,-19.22
-0.73,-0.39,0.85,11.16,22.05,4.77
-0.87,-0.55,0.88,0.29,22.66,-2.62
-0.93,-0.76,0.97,-6.36,11.92,-3.65
-0.84,-0.4,0.82,-12.4,8.99,-51.87
-0.96,-0.41,0.68,13.29,43.05,-42.41
-0.73,-0.39,0.89,17.62,42.2,-39.85
-0.92,-0.54,0.84,12.56,20.04,-0.05
-1.01,-0.6,0.78,-2.52,24.56,0.31
-1.05,-0.66,0.78,-15.21,-8.59,-12.69
-0.82,-0.38,0.79,0.29,-18.17,-47.42
-0.92,-0.42,0.73,15.98,15.58,-40.4
-0.86,-0.41,0.8,23.24,36.7,-34.36
-0.9,-0.5,0.83,23.36,12.29,0.62
-0.98,-0.58,0.8,16.28,-3.95,-1.95
-1.03,-0.66,0.87,8.77,-40.45,7.39
-0.93,-0.25,0.94,-62.88,22.12,-33.38
-0.89,-0.52,0.75,-65.32,14.06,-41.25
-0.73,-0.61,0.97,-82.35,-18.72,-20.2
-0.75,-0.73,0.92,-54.58,-18.53,-6.89
