accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.33,-0.29,1.07,-3.67,3.64,4.22
-0.36,-0.31,1.15,-7.95,19.82,5.2
-0.29,-0.39,1.17,-2.09,-1.67,15.21
-0.51,-0.27,1.27,45.34,191.39,-96.67
-0.67,-0.5,0.85,-11.12,234.48,-39.17
-0.68,-0.47,0.75,78.91,197.25,-34.84
-0.78,-0.28,1.04,19.52,93.06,4.71
-0.89,-0.16,0.86,26.36,16.28,16.06
-0.86,-0.22,0.83,-1.05,13.1,4.04
-0.93,-0.2,0.75,44.06,15.97,-17.51
-0.83,-0.25,0.73,51.81,-16.13,19.6
-0.88,0.29,0.84,6.15,36.91,-52.42
-0.85,0.12,0.57,-1.54,25.31,-4.99
-0.99,-0.17,0.73,11.28,38.19,11.43
-0.99,-0.25,0.77,5.79,0.16,0.87
-1.08,-0.3,0.7,-5.81,9.93,-12.93
-0.91,-0.05,0.71,0.66,-16.44,-40.52
-1.06,-0.14,0.59,15.19,-10.46,-29.35
-0.98,-0.09,0.69,29.59,38.92,-44.12
-1.02,-0.16,0.71,31.91,-6.61,-7.86
-1.07,-0.27,0.71,28.74,-73.93,15.58
-1.05,-0.23,0.71,18.97,-49.7,2.45
-0.9,-0.09,0.73,-14.23,22.44,0.13
-1.05,-0.07,0.78,-80.88,-22.54,-32.76
-0.58,-0.26,0.72,-40.3,-22.48,-52.54
-0.87,-0.29,0.93,-53.78,-14.55,-15.19
