accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.66,-0.31,0.87,12.57,63.38,55.23
0.8,-0.18,0.97,11.35,18.16,38.69
0.61,-0.02,0.98,20.93,-18.95,83.19
0.8,0.03,1.12,13.43,-20.6,36.86
0.59,0.04,1.04,19.71,-5.04,10.86
0.63,0.0,1.08,-10.32,3.94,-3.42
0.73,-0.06,0.95,17.33,-6.32,5.0
0.72,0.11,1.15,-18.13,13.27,-35.59
0.71,0.01,1.05,-14.47,0.27,-20.51
0.81,0.01,1.17,-26.98,23.77,-13.0
0.73,0.08,1.03,-23.5,-4.24,29.78
0.7,0.04,0.99,-15.63,1.19,36.07
0.61,0.03,0.98,16.91,-48.13,17.09
0.79,-0.05,1.11,33.87,-23.22,-31.44
0.72,-0.04,1.11,1.71,13.7,-41.87
0.84,0.03,1.13,-15.08,20.9,-34.67
0.78,0.03,1.1,-31.13,53.8,-10.2
0.63,0.08,0.95,-30.4,41.17,16.17
0.55,-0.03,0.96,-11.48,-19.5,14.34
0.59,0.2,1.47,4.39,-10.9,-45.53
0.64,0.0,1.04,-68.48,-6.13,-32.29
0.8,-0.15,1.11,-23.99,1.98,-44.13
0.7,-0.11,1.19,0.85,28.59,-37.66
0.74,-0.19,1.08,-20.33,-7.97,-30.46
