accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.13,-0.44,1.06,-10.85,17.0,0.44
-0.18,-0.46,1.04,-14.39,38.98,0.99
-0.2,-0.46,1.08,-13.11,33.3,-1.81
-0.22,-0.45,1.07,0.38,5.47,0.81
-0.12,-0.56,0.95,1.36,-10.71,17.11
-0.37,-0.48,0.88,5.2,36.11,-6.58
-0.43,-0.45,1.04,-1.57,101.35,-5.66
-0.39,-0.55,0.77,24.12,87.68,1.54
-0.36,-0.37,1.03,32.06,136.81,0.08
-0.34,-0.37,0.97,4.22,80.36,16.62
-0.4,-0.34,0.93,11.61,33.6,22.29
-0.52,-0.19,0.95,14.72,-13.7,21.75
-0.46,-0.32,0.82,10.57,15.05,4.96
-0.47,-0.33,0.75,53.24,17.12,5.57
-0.49,-0.25,0.87,-11.83,-0.88,10.39
-0.46,-0.19,0.83,1.05,3.82,22.84
-0.55,-0.34,0.9,14.72,-0.45,18.94
-0.55,-0.42,0.95,-6.7,16.39,23.03
-0.52,-0.42,0.94,-13.54,46.73,2.64
-0.47,-0.23,0.85,-26.05,19.93,-23.42
-0.58,-0.27,0.82,-16.04,10.9,-6.76
-0.47,-0.24,0.85,-13.17,9.74,-10.48
-0.63,-0.31,0.83,-1.21,24.88,-31.6
-0.52,-0.3,0.88,-2.06,15.84,-13.11
-0.48,-0.33,0.91,-1.21,41.36,-0.9
-0.54,-0.36,0.89,-10.85,24.88,21.99
-0.69,-0.36,0.82,-10.18,14.81,29.31
-0.56,-0.32,0.87,-4.99,-4.73,11.19
-0.78,-0.16,1.22,-11.95,-5.58,18.33
-0.56,-0.28,0.89,-75.37,-22.85,-18.78
-0.44,-0.39,0.87,-57.05,-35.73,-23.91
-0.34,-0.53,0.95,-38.38,-16.26,-7.8
-0.31,-0.52,0.97,-34.59,-19.07,9.11
-0.33,-0.58,1.04,-22.14,-27.19,30.05
-0.43,-0.55,0.95,-12.99,-14.31,29.8
