accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.43,-0.33,0.84,0.9,2.13,1.14
-0.51,-0.3,0.85,6.64,1.95,-1.97
-0.45,-0.32,0.87,6.52,4.27,-2.4
-0.53,-0.28,0.91,7.98,13.3,-6.24
-0.51,-0.33,0.91,-0.38,8.97,-5.69
-0.49,-0.38,0.74,17.08,24.78,-5.08
-0.39,-0.29,0.86,35.88,4.82,3.46
-0.47,-0.23,0.77,14.09,-12.76,7.06
-0.45,-0.2,0.9,14.88,-20.39,6.45
-0.51,-0.28,0.79,2.37,-22.58,-3.01
-0.4,-0.26,0.86,13.72,-17.52,-3.62
-0.47,-0.28,0.78,19.64,1.71,-8.99
-0.44,-0.28,0.77,33.68,-3.97,-20.95
-0.39,-0.23,0.85,-13.26,27.65,-22.11
-0.44,-0.18,0.82,-13.93,31.55,2.97
-0.44,-0.13,0.77,-2.58,13.43,30.56
-0.68,-0.3,0.73,18.18,30.76,18.23
-0.52,-0.32,0.85,16.89,-13.37,-21.87
-0.45,-0.33,0.88,-5.69,20.14,-50.49
-0.53,-0.17,0.75,-13.99,27.65,-28.03
-0.47,-0.24,0.8,-4.65,-0.18,-4.47
-0.48,-0.14,0.78,16.96,25.51,1.14
-0.58,-0.24,0.75,32.64,-26.67,11.27
-0.51,-0.27,0.82,21.04,-12.33,7.37
-0.6,-0.3,0.8,5.6,-0.12,7.06
-0.48,-0.28,0.82,0.84,-10.56,12.55
-0.62,-0.01,0.9,-58.91,19.35,-22.78
-0.44,-0.21,0.85,-66.48,-17.82,-27.79
-0.33,-0.32,0.78,-57.32,0.61,-28.16
-0.25,-0.35,0.91,-47.74,-21.67,-11.8
-0.38,-0.42,0.92,-55.62,-48.46,21.4
-0.47,-0.5,0.86,-26.07,-38.45,9.99
-0.44,-0.47,0.97,-27.42,-59.02,22.56
-0.43,-0.5,0.99,-8.68,-26.55,3.03
-0.32,-0.53,0.93,-7.28,-32.66,20.25
-0.42,-0.42,1.0,9.51,-18.56,3.46
-0.3,-0.46,1.0,4.44,-14.41,5.78
-0.33,-0.44,1.03,2.92,2.93,-5.94
