accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.02,-0.42,1.06,-6.56,-10.36,-0.64
-0.04,-0.43,1.12,-25.24,-15.67,-4.85
0.08,-0.48,1.13,-21.64,-17.69,-8.39
-0.03,-0.56,1.14,-3.39,26.2,-13.4
-0.06,-0.41,1.25,3.21,43.41,-18.83
-0.13,-0.79,0.68,13.46,54.7,21.7
0.02,-0.44,0.92,62.96,34.44,-15.35
0.15,-0.4,0.95,12.24,-3.83,30.0
0.01,-0.22,1.1,34.7,-1.51,3.2
-0.03,-0.3,0.99,6.38,-32.21,0.52
-0.06,-0.38,0.9,36.41,-6.52,6.44
-0.04,-0.33,0.95,36.65,10.63,-7.36
-0.09,-0.24,0.92,-20.84,38.77,-15.41
-0.07,-0.28,0.92,-2.78,-30.81,-0.52
0.01,-0.19,0.87,12.06,20.09,-20.54
-0.13,-0.39,0.96,16.69,29.49,-1.01
-0.16,-0.39,0.97,3.82,12.83,2.47
-0.22,-0.53,0.98,-2.17,-36.3,-3.57
-0.04,-0.29,0.92,-16.45,-35.94,-32.75
-0.25,-0.28,0.86,-4.79,-37.71,-23.65
-0.04,-0.33,0.96,3.33,3.92,-12.67
-0.13,-0.35,0.93,-3.02,18.93,-5.52
-0.12,-0.32,0.94,8.7,11.43,16.33
-0.16,-0.26,0.96,-47.76,-9.81,4.3
-0.04,-0.34,1.01,-43.61,-11.77,-2.47
0.16,-0.43,0.94,-32.01,-3.35,13.15
0.15,-0.55,0.91,-29.75,-69.63,54.29
-0.09,-0.5,0.96,6.68,-13.54,29.2
-0.12,-0.45,1.07,-13.82,-65.11,39.28
-0.05,-0.46,1.04,-9.73,-43.87,20.84
0.07,-0.53,1.04,-7.84,-31.36,9.67
-0.04,-0.44,1.07,8.52,14.9,-14.37
