accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.08,-0.41,1.02,0.31,-13.57,0.3
0.13,-0.33,1.07,-1.77,-12.89,2.56
0.08,-0.41,1.04,-0.79,4.74,1.64
0.31,-0.47,1.03,14.65,-23.82,-16.12
0.25,-0.56,0.91,21.36,-4.41,26.18
0.02,-0.21,1.34,17.15,252.36,-127.45
-0.39,-0.54,0.87,-28.87,106.55,-1.59
-0.05,-0.53,0.86,22.7,46.92,-7.45
-0.07,-0.5,0.75,23.32,59.19,9.09
-0.13,-0.23,0.95,45.96,26.53,21.91
-0.35,-0.17,1.1,28.93,11.21,5.98
-0.19,-0.25,0.94,-4.09,5.11,-7.39
-0.22,-0.31,0.87,39.79,-17.17,-11.23
-0.31,-0.28,0.79,28.93,-11.61,-19.9
-0.1,-0.29,0.87,-5.8,18.84,-29.18
-0.15,-0.23,0.85,-17.21,43.5,-9.4
-0.2,-0.19,0.81,-17.94,31.78,37.59
-0.33,-0.28,0.79,-3.91,33.31,39.42
-0.53,-0.35,0.68,8.24,-17.35,-12.82
-0.12,-0.24,0.89,9.58,10.85,-39.86
-0.19,-0.26,0.83,7.2,21.96,-19.41
-0.24,-0.29,0.84,-2.44,12.98,4.02
-0.31,-0.33,0.81,-20.32,26.35,15.5
-0.39,-0.27,0.72,-24.96,27.88,4.39
-0.39,-0.3,0.76,-4.64,-21.2,14.22
-0.34,-0.22,0.88,-46.63,-22.35,-8.92
-0.33,-0.32,0.83,-54.26,-36.03,-32.17
-0.08,-0.35,0.88,-44.56,-15.52,-54.39
-0.04,-0.47,0.99,-27.34,-26.69,-21.73
-0.1,-0.47,0.9,-32.1,-27.48,-36.69
-0.17,-0.53,0.94,-24.05,-36.7,-4.89
-0.24,-0.56,0.92,-14.89,-56.6,3.84
-0.41,-0.48,1.07,-7.57,0.66,2.13
-0.22,-0.56,0.9,-12.27,-27.18,10.31
