accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.06,-0.43,1.02,-34.2,67.65,-23.57
-0.04,-0.42,1.02,-35.42,65.21,-24.06
-0.11,-0.4,1.05,-42.01,69.05,-28.7
-0.21,-0.41,1.11,-71.13,56.48,-35.11
-0.09,-0.5,1.07,-53.18,89.68,-48.78
-0.05,-0.5,1.17,-15.83,166.71,-86.93
-0.57,-0.4,1.12,12.86,285.97,-115.07
-0.44,-0.7,0.66,-16.5,233.17,-58.3
-0.48,-0.42,0.78,-1.67,160.73,17.56
-0.45,-0.38,0.88,-11.62,119.89,3.4
-0.44,-0.27,1.18,-98.77,52.94,20.92
-0.39,-0.43,0.95,-19.67,114.4,-22.17
-0.65,-0.37,0.73,-27.42,106.22,-8.13
-0.73,-0.36,0.71,-0.81,68.75,-24.55
-0.52,-0.36,0.74,-1.73,62.95,-16.43
-0.57,-0.32,0.81,-38.35,87.48,-43.29
-0.6,-0.28,0.78,-34.44,54.16,-7.09
-0.61,-0.32,0.77,-26.57,46.16,6.88
-0.7,-0.37,0.77,-27.49,85.04,-9.72
-0.73,-0.41,0.75,-25.53,65.63,-29.13
-0.51,-0.27,0.82,-20.71,69.78,-69.11
-0.58,-0.33,0.81,-27.3,55.68,-32.91
-0.63,-0.32,0.78,-36.58,58.06,-28.27
-0.58,-0.37,0.91,-85.29,33.59,-26.14
-0.52,-0.41,0.74,-58.12,78.82,-13.2
-0.6,-0.41,0.79,-40.97,82.42,-15.52
-0.59,-0.38,0.79,-21.93,96.7,-12.1
-0.69,-0.32,0.75,-47.87,123.92,-40.05
-0.69,-0.38,0.77,-37.25,71.25,-35.96
-0.69,-0.37,0.73,-5.09,79.61,-74.54
-0.7,-0.38,0.74,-11.37,58.0,-50.73
-0.59,-0.41,0.86,-33.59,48.79,-23.76
-0.72,-0.38,0.74,-38.47,78.63,-21.68
-0.63,-0.34,0.77,-51.47,24.98,15.43
-0.68,-0.32,0.83,-93.77,27.67,-28.46
-0.58,-0.4,0.78,-88.09,41.65,-62.57
-0.38,-0.39,0.88,-82.36,45.55,-76.74
-0.31,-0.6,0.9,-73.08,15.03,-30.04
-0.42,-0.59,0.97,-47.2,45.8,-3.68
-0.59,-0.58,0.97,-46.59,29.56,14.02
-0.64,-0.53,1.02,-50.37,43.66,10.12
-0.74,-0.54,1.01,-45.73,73.38,-25.16
-0.54,-0.64,0.89,-49.58,40.97,-22.72
-0.51,-0.58,0.91,-17.54,89.8,-42.19
