accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.72,-0.29,1.28,9.6,1.8,-0.23
0.7,-0.31,1.27,5.14,2.9,-3.71
0.66,-0.29,1.3,7.4,2.9,-2.24
0.77,-0.34,1.26,10.88,-11.26,15.33
0.69,-0.31,1.31,24.13,3.02,25.71
0.71,-0.3,1.44,13.26,8.82,46.89
0.68,-0.27,1.19,4.17,20.11,41.4
0.95,-0.26,1.15,7.04,-9.43,91.87
0.68,0.07,1.36,33.59,18.65,3.68
0.78,-0.14,1.15,10.7,-7.42,22.23
0.77,-0.1,1.29,-15.18,2.9,-23.48
0.82,-0.1,1.27,-6.27,-1.5,-4.87
0.84,-0.12,1.27,-3.46,53.44,-7.61
0.79,-0.08,1.23,12.1,12.24,20.52
0.64,-0.15,1.12,22.48,-23.16,10.94
0.81,-0.19,1.34,18.94,-0.64,-16.16
0.74,-0.22,1.28,13.51,3.02,-30.99
0.8,-0.09,1.24,-0.78,-5.16,-24.46
0.81,-0.07,1.22,-5.72,-1.31,-3.04
0.77,-0.14,1.25,-5.35,12.54,3.43
0.73,-0.14,1.23,4.66,11.44,3.31
0.64,-0.07,1.31,2.7,-35.86,25.04
0.75,-0.13,1.22,-38.25,-29.63,-19.76
0.78,-0.22,1.3,-18.6,-0.89,-36.79
0.8,-0.19,1.37,-20.37,24.08,-46.56
0.76,-0.31,1.26,-14.75,37.08,-46.8
0.78,-0.3,1.33,-5.96,-3.63,-23.85
0.77,-0.3,1.33,-6.7,-6.2,-15.92
0.81,-0.35,1.33,-14.75,-9.55,8.8
