accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.57,-0.29,1.17,1.13,8.55,-2.05
0.54,-0.28,1.15,1.37,10.5,-4.3
0.5,-0.32,1.16,2.23,10.5,-11.87
0.5,-0.27,1.08,20.84,51.64,-27.56
0.64,-0.31,1.25,20.48,24.96,16.26
0.66,-0.37,0.96,35.74,20.33,79.86
0.53,-0.11,1.11,32.62,31.31,2.35
0.5,-0.17,1.03,-15.23,-7.38,26.09
0.64,-0.19,1.13,2.11,15.99,9.12
0.47,-0.2,1.03,18.34,24.29,-4.91
0.54,-0.17,1.04,24.63,28.69,3.39
0.48,-0.13,1.02,-9.19,31.56,-15.23
0.52,-0.17,1.03,-4.73,32.41,-14.44
0.45,-0.12,0.98,5.59,27.16,6.07
0.46,-0.2,1.02,16.75,-5.43,-1.25
0.47,-0.27,1.08,3.51,4.7,-3.39
0.5,-0.15,1.04,9.67,7.57,-32.5
0.52,-0.14,1.04,2.11,2.56,-25.48
0.44,-0.15,0.98,-1.01,26.49,-15.11
0.44,-0.18,1.0,-3.94,7.26,-0.22
0.44,-0.19,0.99,-4.79,23.74,-2.96
0.44,-0.15,1.0,2.78,-29.66,22.67
0.36,-0.17,0.99,-64.12,-50.41,-4.0
0.58,-0.2,1.11,-31.89,-48.83,-4.3
0.6,-0.3,1.11,-18.46,-41.2,-2.66
0.62,-0.31,1.15,-13.15,-10.13,-2.84
0.58,-0.28,1.12,0.64,18.49,-5.53
0.53,-0.25,1.11,0.89,9.34,-0.34
