accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.06,-0.56,0.93,5.08,-22.42,-9.04
-0.02,-0.41,1.15,17.41,17.99,-9.89
0.04,-0.59,0.81,9.29,75.18,12.38
0.06,-0.4,1.01,38.77,51.37,24.35
0.27,-0.43,0.95,-0.9,-14.36,75.74
0.06,-0.29,0.94,28.82,-19.25,32.1
0.14,-0.25,0.96,17.41,-17.41,31.18
-0.07,-0.18,0.89,55.19,-12.41,-17.83
0.11,-0.17,0.97,-3.34,-25.84,-10.63
0.08,-0.33,0.87,20.22,2.48,-19.35
0.1,-0.24,0.95,17.29,12.19,-21.19
-0.04,-0.27,0.9,-15.98,-6.98,-19.17
0.13,-0.18,0.89,-7.92,12.86,-18.93
0.07,-0.16,0.89,7.34,33.79,9.64
-0.15,-0.28,0.88,10.33,-18.76,-4.83
0.02,-0.34,0.97,7.22,-27.06,-31.87
-0.01,-0.29,0.93,-9.63,-32.19,-37.73
0.07,-0.19,0.87,-4.81,-24.68,-14.9
0.07,-0.26,0.91,-12.98,24.52,-17.1
0.01,-0.23,0.89,10.33,1.75,2.44
-0.03,-0.29,0.92,16.68,-9.3,-18.07
-0.01,-0.3,0.93,5.81,-15.95,-33.94
0.06,-0.28,0.93,-7.13,-29.32,-37.18
0.05,-0.2,0.88,-13.41,-3.68,-17.16
0.0,-0.26,0.91,-5.78,-2.4,-1.84
0.01,-0.23,0.89,5.87,-9.91,5.61
-0.05,-0.18,0.97,-58.4,-16.32,-3.3
0.12,-0.36,0.91,-63.77,-31.15,-5.68
0.18,-0.4,0.91,-30.26,7.85,-21.49
0.19,-0.36,1.05,-27.15,-4.41,8.84
0.12,-0.4,0.98,-25.92,-17.11,-3.91
0.15,-0.48,0.93,-25.92,-38.65,23.92
-0.01,-0.44,0.96,-8.1,-14.73,-5.13
