accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.54,-0.31,1.13,-20.75,-15.79,10.52
0.52,-0.31,1.13,-20.32,-19.39,10.58
0.57,-0.32,1.12,-17.27,-35.99,14.36
0.61,-0.32,1.11,-15.26,-17.01,23.21
0.57,-0.3,1.15,-29.84,-10.29,19.61
0.55,-0.29,1.12,-32.22,-3.52,12.72
0.56,-0.35,1.14,-13.42,-46.92,5.94
0.37,-0.15,0.84,-18.37,19.74,5.76
0.59,-0.17,1.05,-6.16,57.52,-21.34
0.5,-0.31,1.13,-8.72,-13.41,7.89
0.54,-0.36,1.18,-16.66,-17.37,23.09
0.64,-0.27,1.08,-33.26,1.67,17.29
0.42,-0.25,1.08,-61.58,-26.83,24.86
0.52,-0.38,1.05,-36.01,-27.14,9.05
0.63,-0.29,1.13,-5.98,3.87,-10.72
0.48,-0.18,1.11,-38.27,22.6,-14.08
0.54,-0.29,1.09,-26.97,0.63,2.1
0.51,-0.26,1.1,-27.34,2.22,32.0
0.39,-0.31,1.06,-29.84,10.15,40.98
0.42,-0.33,1.09,-22.4,-11.88,33.83
0.43,-0.31,1.09,-19.77,-16.64,15.28
0.44,-0.27,1.07,-26.06,-12.8,27.61
0.45,-0.21,1.15,-75.99,-49.17,6.25
0.62,-0.4,1.11,-57.0,-72.18,8.26
0.66,-0.39,1.18,-38.27,-17.98,5.39
0.53,-0.37,1.16,-29.29,-11.15,0.08
0.54,-0.38,1.16,-28.32,-13.04,-5.59
0.55,-0.39,1.17,-31.06,-17.19,3.87
0.55,-0.43,1.16,-22.21,-9.13,0.57
