accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.27,-0.48,1.06,7.54,-34.86,6.87
-0.26,-0.47,1.08,2.11,-7.95,4.37
-0.32,-0.45,1.08,-11.44,15.8,-2.53
-0.34,-0.48,1.09,-10.16,-7.15,17.25
-0.35,-0.59,1.1,-10.59,7.92,-1.74
-0.29,-0.6,1.12,12.3,2.19,3.64
-0.32,-0.62,0.99,31.9,-21.25,-5.15
-0.54,-0.37,1.18,47.15,111.19,-77.3
-0.65,-0.58,0.93,-8.75,54.07,-28.77
-0.5,-0.52,0.95,50.82,31.54,-36.16
-0.46,-0.44,1.06,34.58,30.63,-7.53
-0.5,-0.42,0.92,42.45,-52.62,58.32
-0.56,-0.3,1.07,8.21,-32.73,18.34
-0.59,-0.46,0.94,16.27,-38.4,-0.33
-0.46,-0.37,1.1,11.45,-12.89,10.53
-0.58,-0.39,1.0,26.65,-3.67,2.05
-0.52,-0.39,0.93,28.78,3.59,-3.02
-0.68,-0.06,1.48,16.82,29.1,-34.02
-0.6,-0.25,0.87,-5.52,26.11,4.92
-0.76,-0.36,0.94,19.44,1.94,23.47
-0.65,-0.45,1.03,14.68,-35.35,-11.14
-0.67,-0.45,1.02,7.85,-18.08,-40.74
-0.66,-0.24,0.9,4.12,-16.25,-13.39
-0.75,-0.29,0.9,6.75,38.2,14.32
-0.76,-0.29,0.89,15.96,35.02,-1.19
-0.69,-0.41,0.98,13.34,-19.97,16.76
-0.67,-0.45,1.02,4.49,22.45,18.71
-0.95,-0.42,0.89,-6.98,-8.5,18.77
-0.83,-0.39,0.91,0.1,-46.83,-17.67
-0.66,-0.33,0.95,19.81,-26.01,-62.59
-0.67,-0.33,0.95,23.72,-11.49,-33.17
-0.82,-0.38,0.9,7.42,-5.63,-0.94
-0.95,-0.42,0.94,-8.69,24.28,38.55
-0.81,-0.3,0.96,-29.14,-20.34,27.19
-0.77,-0.34,0.96,-56.73,-57.99,15.66
-0.51,-0.52,0.99,-57.16,-62.94,-3.57
-0.63,-0.55,1.06,-48.67,-29.19,17.86
-0.73,-0.63,1.02,-45.68,-50.73,25.49
-0.84,-0.62,1.11,-33.05,-44.14,39.46
-0.71,-0.64,1.06,-18.89,-46.89,32.81
-0.69,-0.63,1.02,1.38,-22.11,23.47
-0.6,-0.63,1.02,10.29,-29.98,20.3
-0.69,-0.52,1.18,21.03,-0.19,5.1
