accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.97,-0.45,1.12,40.04,22.46,-51.18
-0.9,-0.51,1.1,2.32,76.48,-26.52
-0.87,-0.66,0.88,21.85,78.49,-30.79
-1.08,-0.44,1.12,34.06,106.32,-14.92
-0.89,-0.47,0.98,8.54,71.11,2.53
-0.79,-0.36,0.97,33.08,16.11,25.79
-0.99,-0.26,1.08,20.02,-21.36,47.58
-0.78,-0.17,1.09,6.29,-22.34,26.76
-0.99,-0.35,0.76,22.16,-16.36,44.34
-0.92,-0.13,1.11,-39.25,-19.17,-6.87
-0.89,-0.26,0.96,-10.44,4.46,-8.7
-1.01,-0.29,0.97,-2.44,-34.85,7.17
-0.87,-0.24,0.98,13.24,16.72,-62.41
-0.71,-0.28,1.05,-2.99,1.1,-7.17
-0.76,-0.23,1.03,7.75,34.91,3.26
-1.0,-0.22,0.9,2.26,-3.36,46.48
-1.03,-0.34,0.97,8.0,-14.16,12.91
-1.24,-0.37,0.9,7.08,-18.01,-19.62
-0.81,-0.22,0.98,-2.75,-7.81,-34.46
-0.82,-0.25,0.99,6.47,-1.71,-17.37
-0.93,-0.27,0.96,-7.26,39.37,-7.6
-0.92,-0.28,0.98,2.01,-17.4,18.77
-0.96,-0.15,1.03,-46.81,-20.2,-5.83
-0.57,-0.31,0.91,-40.34,6.04,-0.21
-0.85,-0.33,0.94,-21.55,23.38,-29.69
-0.81,-0.35,1.11,-24.54,2.99,-10.65
-0.87,-0.39,0.98,-14.71,-1.89,-26.4
-0.88,-0.36,1.13,-25.15,-17.4,-1.86
