accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.88,-0.59,1.96,22.28,-68.66,123.74
-0.91,-0.6,1.95,24.05,-76.41,126.67
-0.89,-0.6,1.93,35.28,-80.81,120.39
-0.92,-0.59,1.96,30.88,-72.02,124.6
-0.91,-0.56,1.98,25.33,-70.43,118.37
-0.9,-0.53,1.98,27.71,-102.78,127.16
-0.96,-0.59,1.85,35.46,-112.55,133.14
-0.87,-0.66,1.79,40.59,-81.3,114.83
-0.85,-0.59,1.85,25.94,-51.63,113.18
-1.06,-0.56,1.95,29.48,-55.78,130.33
-0.95,-0.48,1.96,22.82,-86.3,113.49
-0.85,-0.58,1.98,17.27,-114.19,120.45
-0.97,-0.62,1.78,4.33,-107.79,111.41
-0.24,-0.02,1.74,2.74,-67.99,105.43
-0.95,-0.52,1.78,-2.63,-38.51,139.0
-1.17,-0.38,1.81,76.17,-114.26,103.05
-1.03,-0.57,2.09,55.54,-132.44,78.21
-0.79,-0.64,1.88,-5.25,-144.71,117.33
-0.85,-0.58,1.64,-14.59,-96.13,168.54
-0.92,-0.49,1.37,27.95,-22.09,169.21
-1.17,-0.39,2.02,75.5,-72.02,122.89
0.11,0.09,2.4,39.79,-141.48,134.12
-1.02,-0.93,1.64,48.22,-164.79,215.42
-0.95,-0.85,1.54,29.72,-99.91,164.7
-0.78,-0.58,1.62,-8.0,-40.95,106.65
-0.9,-0.55,1.86,5.86,-53.59,122.4
