accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.56,-0.8,1.66,-0.24,-4.7,-1.13
-0.55,-0.79,1.65,-1.53,-4.83,-1.25
-0.56,-0.81,1.66,-0.3,-5.74,-0.03
-0.56,-0.79,1.67,-3.54,-7.27,-2.66
-0.56,-0.8,1.67,-5.92,-11.54,-0.09
-0.56,-0.81,1.65,-3.3,-6.96,-1.44
-0.53,-0.77,1.61,-4.15,-3.79,-7.66
-0.55,-0.82,1.67,1.34,2.01,-7.42
-0.55,-0.8,1.67,0.18,-0.06,-9.13
-0.56,-0.8,1.65,2.2,4.82,-11.99
-0.58,-0.81,1.66,0.18,2.56,-22.0
-0.57,-0.77,1.65,-0.73,0.18,-31.28
-0.6,-0.71,1.71,-0.85,4.64,-16.27
-0.63,-0.73,1.74,-0.98,-12.52,-0.4
-0.69,-0.86,1.66,-12.08,-6.29,-20.97
-0.63,-0.79,1.64,-13.55,32.47,-50.75
-0.64,-0.77,1.65,-11.23,7.32,13.4
-0.67,-0.64,1.49,41.63,49.37,30.24
-0.84,-0.73,1.97,53.1,18.61,-19.38
-0.72,-0.88,2.09,-29.17,-48.95,-43.31
-0.45,-0.77,1.32,-33.69,-68.97,24.57
-0.73,-0.71,1.69,-4.64,-32.84,-3.94
-0.65,-0.64,1.59,6.41,26.0,-63.51
-0.73,-0.73,1.79,78.92,66.59,-55.09
-0.7,-0.78,1.68,-3.72,-110.42,165.8
-0.62,-1.04,1.62,-7.93,-38.33,59.36
-0.6,-0.89,1.46,-30.52,4.7,-34.21
-0.58,-0.67,1.73,-13.37,12.26,-20.54
-0.59,-0.73,1.64,-3.42,-15.02,13.64
-0.57,-0.82,1.62,-0.06,0.55,-1.56
-0.59,-0.77,1.69,-1.22,3.96,-11.2
-0.6,-0.74,1.68,0.06,-3.6,-1.8
-0.59,-0.77,1.65,-2.93,-3.36,-1.37
-0.58,-0.77,1.65,3.05,1.22,-3.39
-0.6,-0.76,1.69,1.59,-1.53,-3.51
-0.6,-0.76,1.68,0.49,-2.38,-1.13
-0.6,-0.77,1.67,0.98,-4.7,0.82
-0.6,-0.77,1.67,0.0,-2.57,0.64
-0.61,-0.77,1.66,-2.56,0.79,0.76
-0.58,-0.77,1.64,-2.62,0.42,5.34
