accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.81,1.6,0.73,-4.26,1.56
-0.52,-0.82,1.6,0.61,-2.86,-0.03
-0.53,-0.82,1.59,0.43,-2.86,0.82
-0.54,-0.83,1.61,-1.71,1.35,-3.88
-0.54,-0.83,1.59,-3.36,4.96,-10.1
-0.56,-0.81,1.68,-4.52,8.01,-13.82
-0.52,-0.79,1.59,-8.97,7.95,-12.48
-0.58,-0.8,1.68,-10.68,0.62,-5.71
-0.61,-0.91,1.59,-7.45,3.25,-23.96
-0.05,0.5,2.07,-14.34,37.18,-63.2
-0.63,-0.8,1.71,10.07,-37.59,14.13
-0.99,-0.38,1.38,-11.47,37.79,-14.37
-0.67,-0.73,1.65,21.0,41.82,-24.69
-0.66,-0.8,1.71,28.2,55.37,-7.35
-0.68,-0.78,1.74,26.73,-43.87,-2.72
-0.74,-0.56,1.47,-30.33,-126.27,18.95
-0.65,-0.65,1.49,-21.85,-43.14,-18.89
-0.53,-0.78,1.54,-16.97,50.43,-28.29
-0.46,-0.81,1.49,54.51,71.73,41.9
-0.89,-0.74,1.88,24.84,-36.61,-0.15
-0.26,0.09,1.87,-17.15,-87.63,104.64
-0.57,-1.09,1.44,-20.63,-84.64,109.53
-0.48,-1.17,1.23,-6.53,-13.6,13.21
-0.47,-0.77,1.59,-19.35,19.42,-42.33
-0.49,-0.77,1.64,-0.24,7.7,-10.89
-0.47,-0.82,1.61,-1.34,-5.66,-1.13
-0.49,-0.84,1.57,2.2,-1.21,-5.34
-0.52,-0.82,1.59,4.15,0.5,-6.5
-0.5,-0.8,1.61,2.26,-0.42,-2.41
-0.52,-0.82,1.58,1.4,-0.96,-0.82
