accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.56,-0.76,1.61,1.24,-2.28,0.72
-0.57,-0.77,1.6,0.2,-1.6,-1.12
-0.57,-0.76,1.63,0.08,-5.33,-0.87
-0.57,-0.77,1.62,-1.88,-16.62,-4.66
-0.56,-0.76,1.6,-5.42,-17.11,-8.5
-0.57,-0.78,1.6,-5.23,-13.75,-7.83
-0.57,-0.78,1.56,-14.45,7.55,-21.07
-0.59,-0.76,1.62,-8.41,15.67,-14.54
-0.64,-0.76,1.67,2.03,10.05,-9.35
-0.68,-0.79,1.67,-1.02,2.85,-17.05
-0.65,-0.78,1.65,-5.29,11.58,-32.18
-0.67,-0.72,1.67,-10.91,19.21,-30.66
-0.69,-0.72,1.72,-12.92,16.71,-35.23
-0.68,-0.66,1.69,-7.43,-6.67,-18.33
-0.76,-0.84,1.66,-10.67,-8.01,-21.68
-0.71,-0.69,1.64,-10.12,-0.87,8.1
-0.58,-0.54,1.23,59.1,28.12,29.46
-1.0,-0.68,2.17,67.58,29.16,-8.68
-0.94,-0.64,1.85,46.4,3.46,-38.9
-0.71,-0.73,1.71,-57.42,-86.2,-39.87
-0.45,-0.65,1.16,-16.77,-21.5,-4.11
-0.61,-0.62,1.26,6.61,48.99,4.01
-0.84,-0.58,1.73,15.03,-106.04,119.8
-0.72,-0.86,1.52,14.85,-37.25,77.25
-0.63,-0.92,1.39,-9.02,-29.62,9.87
-0.5,-0.69,1.55,0.63,7.79,-7.83
-0.6,-0.73,1.57,-5.78,-10.52,8.16
