accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.7,-0.71,1.76,-3.07,-4.4,-9.05
-0.7,-0.69,1.75,-9.72,4.33,-12.04
-0.71,-0.73,1.79,-11.43,-3.54,-3.56
-0.67,-0.74,1.77,-16.5,-0.49,-4.78
-0.74,-0.78,1.75,-7.46,5.55,-3.44
-0.7,-0.72,1.76,-6.0,7.51,-11.31
-0.71,-0.71,1.83,-3.19,4.33,-11.37
-0.72,-0.72,1.8,-6.24,1.04,-12.1
-0.71,-0.74,1.79,-6.55,4.82,-12.47
-0.76,-0.74,1.8,-4.11,4.58,-13.75
-0.79,-0.81,1.8,-8.44,20.08,-37.43
-0.81,-0.71,1.84,-7.1,-12.03,-19.73
-0.71,-0.69,1.79,-3.49,-12.76,7.24
-0.76,-0.81,1.94,29.28,47.97,-32.25
-0.7,-0.87,2.08,32.82,12.63,-15.09
-0.79,-0.69,1.85,19.76,-23.5,-11.07
-0.69,-0.52,1.48,-16.31,-38.7,34.1
-0.78,-0.57,1.55,51.19,37.72,22.93
-0.94,-0.72,2.12,29.65,-5.19,-6.31
-0.85,-0.75,2.16,-14.36,-81.79,-39.14
-0.55,-0.65,1.37,-23.21,-27.16,-21.26
-0.7,-0.56,1.57,-21.38,32.9,8.59
-1.09,-0.72,2.01,-6.79,-10.44,70.17
-0.77,-0.85,1.7,-3.13,-38.21,29.89
-0.66,-0.81,1.76,-14.3,-33.02,0.59
-0.64,-0.75,1.63,-16.74,-3.18,-22.79
-0.67,-0.66,1.79,-4.29,-0.06,-4.54
-0.68,-0.73,1.72,1.08,0.67,3.34
-0.68,-0.73,1.76,-0.5,-0.43,-2.09
-0.68,-0.73,1.74,1.14,-1.34,-0.75
