accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.59,-0.75,1.62,-0.15,-7.27,-1.07
-0.6,-0.76,1.62,-0.76,-5.44,-0.83
-0.6,-0.76,1.6,0.09,-8.67,-0.89
-0.6,-0.77,1.6,0.09,-11.6,-5.52
-0.58,-0.75,1.62,3.63,-9.83,-7.54
-0.63,-0.75,1.57,5.04,-4.83,-10.9
-0.6,-0.72,1.61,6.26,-30.09,-10.16
-0.61,-0.81,1.56,16.14,-17.95,-13.03
-0.58,-0.77,1.59,10.77,-4.83,-9.92
-0.63,-0.76,1.55,6.44,13.48,-13.34
-0.65,-0.7,1.59,4.3,12.87,-20.97
-0.63,-0.69,1.52,-5.1,13.79,-21.46
-0.69,-0.64,1.64,2.29,0.24,-7.17
-0.66,-0.71,1.53,-1.07,-20.02,-3.27
-0.68,-0.73,1.55,0.95,4.15,-15.6
-0.76,-0.77,1.55,-8.82,14.03,-41.05
-0.77,-0.69,1.63,-11.57,-14.71,-4.06
-0.7,-0.63,1.6,14.98,-72.21,-28.78
-0.68,-0.71,1.51,-29.33,-53.1,-10.9
-0.62,-0.63,1.37,-14.8,5.49,21.88
-0.66,-0.58,1.1,8.76,68.9,26.21
-1.0,-0.53,1.93,93.11,-49.99,-36.35
-0.64,-0.74,1.84,31.53,-30.58,-46.72
-0.5,-0.51,0.97,-71.32,-7.88,-22.8
-0.67,-0.61,1.5,9.25,-52.01,133.02
-0.68,-0.97,1.33,-5.34,-24.97,61.0
-0.61,-0.88,1.43,-9.67,3.23,-11.81
-0.56,-0.72,1.47,-19.13,11.1,-21.58
-0.57,-0.69,1.49,-7.84,9.58,-6.38
-0.59,-0.71,1.52,-5.89,1.89,4.42
-0.58,-0.76,1.49,0.52,8.85,0.03
-0.6,-0.74,1.52,-2.17,10.62,-8.82
