accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.67,-0.73,1.76,-1.79,-7.56,0.38
-0.69,-0.71,1.75,-6.91,-1.94,-4.69
-0.7,-0.73,1.76,-4.72,-20.07,-11.71
-0.68,-0.71,1.65,-2.52,-19.4,-21.66
-0.66,-0.74,1.75,0.72,10.69,-25.56
-0.7,-0.67,1.75,-12.89,10.75,-24.22
-0.73,-0.73,1.82,-20.65,-0.29,-31.12
-0.78,-0.82,1.55,-11.31,43.1,-43.75
-0.75,-0.68,1.67,-15.21,28.09,-9.02
-1.01,-0.44,1.63,36.6,15.94,14.9
-1.01,-0.55,1.93,72.07,2.88,-58.46
-0.61,-0.73,1.69,59.49,36.94,-42.96
-0.89,-0.59,1.92,16.65,-29.59,-23.18
-0.89,-0.84,1.43,-17.59,-19.21,88.39
-0.77,-0.75,1.56,-22.11,46.09,18.08
-0.53,-0.22,1.93,-104.51,-7.68,50.3
-1.18,-0.5,2.17,-65.87,-61.82,-38.93
-0.3,-0.59,1.24,4.38,-4.14,-34.47
-0.86,-0.68,1.66,21.41,-101.61,147.05
-0.71,-0.87,1.79,-0.93,-55.84,79.54
-0.69,-1.02,1.52,-5.45,-25.32,17.35
-0.57,-0.86,1.59,-15.21,29.61,-37.22
