accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.63,-0.82,1.75,0.37,-1.28,-3.65
-0.63,-0.82,1.76,0.18,-2.2,-2.06
-0.63,-0.82,1.76,1.04,-4.03,-1.02
-0.62,-0.79,1.79,-4.58,-5.5,-1.27
-0.63,-0.81,1.79,-13.49,-6.11,4.9
-0.6,-0.8,1.91,-40.47,-9.4,9.17
-0.46,-0.84,1.69,-44.25,7.57,28.76
-0.73,-1.01,1.6,-3.17,21.3,0.5
-0.64,-0.88,1.71,24.23,22.58,-43.75
-0.62,-0.83,1.87,35.4,8.24,-34.78
-0.64,-0.81,1.85,29.66,0.06,-23.18
-0.67,-0.76,1.96,11.54,-0.61,-16.22
-0.73,-0.81,1.76,0.79,-13.8,-13.96
-0.71,-0.8,1.83,-7.87,0.79,-28.55
-0.67,-0.73,1.75,-6.16,5.06,-20.25
-0.74,-0.8,1.85,-0.67,-4.21,-8.53
-0.64,-0.76,1.65,-22.15,27.58,-40.27
-0.87,-0.67,2.01,-1.28,4.39,-9.75
-0.75,-0.72,1.85,4.03,-27.96,4.96
-0.8,-0.88,1.8,-4.45,-12.82,-9.08
-0.43,-0.68,1.86,-26.73,1.71,19.61
-0.69,-0.7,1.54,20.88,11.96,26.63
-1.0,-0.61,1.99,50.42,-10.75,-4.32
-0.74,-0.83,2.03,18.62,-49.69,-27.7
-0.52,-0.98,1.83,-55.11,-10.99,9.72
-0.85,-0.66,1.8,-10.68,-16.79,-11.77
-0.74,-0.57,1.63,41.51,-42.36,-45.82
-0.82,-0.73,1.89,63.17,86.36,-56.44
-0.64,-0.86,1.92,51.15,43.88,-26.78
-0.73,-0.78,1.87,4.21,-35.4,69.11
-1.06,-0.62,2.32,-37.29,-51.27,37.31
-0.65,-0.56,1.15,-100.04,4.45,-19.82
-0.68,-0.2,1.92,-35.83,-70.19,111.1
-0.88,-0.9,1.71,1.59,-41.32,113.11
-0.67,-1.08,1.63,8.49,-33.94,25.28
-0.62,-0.95,1.74,-0.67,35.28,-31.3
-0.6,-0.73,1.88,-5.13,17.03,-15.24
-0.61,-0.79,1.86,3.79,-16.67,10.21
-0.64,-0.89,1.76,4.82,-14.71,10.08
-0.62,-0.87,1.77,3.18,1.58,-6.88
-0.63,-0.82,1.83,0.0,-1.1,-7.13
-0.62,-0.82,1.81,3.05,-6.84,-1.63
-0.61,-0.84,1.8,2.56,-7.08,-0.11
