accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.83,-0.75,1.83,31.06,-51.36,21.59
-0.82,-0.74,1.86,27.58,-49.53,22.14
-0.83,-0.79,1.75,24.65,-38.12,23.24
-0.87,-0.76,1.85,30.44,-34.82,18.9
-0.86,-0.76,1.88,27.15,-43.18,15.24
-0.99,-0.85,1.87,21.84,-51.91,-0.38
-0.94,-0.75,1.77,39.11,-1.98,-56.41
-0.98,-0.72,1.92,43.57,-106.6,30.5
-0.93,-0.59,1.66,98.07,-116.43,-17.23
-1.06,-0.8,1.95,80.8,-7.6,3.4
-1.02,-0.69,1.86,53.27,-81.27,14.39
-1.18,-0.36,1.52,-20.95,-132.91,34.35
-0.98,-0.59,1.75,13.11,-109.71,10.36
-0.89,-0.63,1.57,10.24,-3.08,-30.96
-0.89,-0.69,2.12,79.94,-16.33,-21.81
-1.25,-0.68,1.94,68.53,-226.29,226.18
-0.76,-0.94,1.25,51.44,-111.67,151.47
-0.88,-1.14,1.47,12.81,-51.18,12.86
-0.61,-0.62,1.62,-6.05,23.22,-44.82
