accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.72,-0.81,1.9,4.65,-7.89,-7.33
-0.72,-0.78,1.83,-7.0,-1.91,-9.89
-0.74,-0.78,1.89,-20.0,-9.78,-15.63
-0.64,-0.69,1.91,-14.69,-15.64,-38.09
-0.67,-0.86,1.64,24.92,-43.9,-19.96
-0.75,-0.85,1.82,18.81,20.73,-22.34
-0.72,-0.7,1.76,7.58,62.67,-31.99
-0.84,-0.64,1.98,13.63,21.53,-26.01
-0.8,-0.73,1.82,12.41,-5.51,-16.0
-0.8,-0.74,1.89,0.02,-1.97,-25.7
-0.84,-0.78,1.78,-12.31,4.99,-19.11
0.06,0.33,2.1,1.97,-1.48,-30.71
-0.83,-0.67,1.84,-19.7,-12.84,3.17
-0.78,-0.75,1.89,35.23,25.68,-44.74
-0.67,-0.82,2.02,59.46,21.71,-17.58
-0.96,-0.9,1.67,-7.92,-44.45,68.6
-1.06,-0.92,1.68,-40.51,22.32,-44.13
-0.76,-0.69,1.83,-23.06,-2.95,0.54
-0.77,-0.7,1.81,0.44,-3.44,-9.04
-0.87,-0.6,1.66,52.87,2.97,-42.67
-1.02,-0.95,1.74,9.11,-116.66,60.73
-0.7,-0.89,1.66,21.5,-21.38,2.19
-0.82,-0.85,1.78,-4.93,28.85,-49.5
-0.72,-0.62,1.81,-10.73,1.2,-24.54
-0.77,-0.68,1.82,-12.19,14.94,-4.46
-0.79,-0.7,1.81,0.75,2.3,7.44
-0.75,-0.71,1.72,-7.31,14.87,-1.53
-0.81,-0.74,1.86,-0.47,5.96,-5.19
-0.76,-0.71,1.81,-1.02,-0.57,-7.82
-0.77,-0.71,1.82,1.97,-4.47,-1.53
-0.76,-0.73,1.79,1.6,-4.9,-3.36
-0.77,-0.74,1.79,-0.11,-7.22,-0.98
-0.75,-0.73,1.79,1.05,-2.7,-5.99
-0.75,-0.73,1.8,2.7,-3.99,-5.13
-0.76,-0.71,1.78,2.64,-1.97,-5.19
