accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.67,-0.75,1.69,-10.04,13.4,-20.28
-0.63,-0.7,1.74,-6.01,7.97,-11.92
-0.67,-0.76,1.74,-5.83,1.25,-8.5
-0.75,-0.79,1.72,-2.6,20.05,-22.6
-0.7,-0.69,1.76,-0.16,28.66,-34.51
-0.77,-0.7,1.68,-14.07,16.21,-29.62
-0.74,-0.67,1.9,-6.44,9.43,-31.03
-0.66,-0.65,1.68,-6.14,-1.19,-0.94
-0.82,-0.86,1.71,-6.75,4.79,-7.77
-0.71,-0.68,1.63,9.18,28.11,-34.14
-0.76,-0.67,1.89,6.5,20.9,-30.48
-0.78,-0.84,1.72,-10.04,10.1,-6.37
-0.97,-0.75,1.63,-9.86,83.89,-68.08
-0.88,-0.68,1.8,-9.25,-45.62,-3.32
-0.82,-0.7,1.78,55.81,-87.74,-97.43
-0.66,-0.7,1.53,19.25,44.59,-49.15
-0.77,-0.77,1.91,59.84,19.01,42.76
-0.99,-0.31,1.5,-53.32,-21.82,61.14
-0.69,-0.47,1.96,-60.46,-19.07,78.04
-1.02,-1.12,1.27,-12.06,31.22,-24.98
-0.67,-0.21,1.86,-106.3,80.6,26.47
-0.78,-0.69,1.83,6.5,0.58,-0.57
0.19,-0.22,2.81,51.3,-11.57,-18.27
-1.4,-1.08,1.79,-35.31,-165.25,111.61
