accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.68,-0.67,1.77,-3.61,-0.8,-7.32
-0.71,-0.64,1.8,-4.1,-3.61,-4.94
-0.72,-0.67,1.8,-4.71,-17.46,-2.99
-0.65,-0.72,1.74,-11.43,10.19,7.82
-0.72,-0.65,1.75,3.59,2.74,-2.38
-0.88,-0.68,1.6,19.15,0.11,-14.22
-0.73,-0.61,1.86,33.07,18.49,-31.19
-0.77,-0.59,1.86,7.86,20.62,-12.69
-0.82,-0.57,1.85,11.52,5.3,-5.98
-0.83,-0.6,1.89,-3.68,-14.47,4.64
-0.85,-0.67,1.81,2.43,-8.43,-8.85
-0.28,0.3,2.15,-10.39,21.96,-34.79
-0.83,-0.56,1.83,2.18,-41.33,8.3
-1.05,-0.33,1.64,18.91,1.52,-52.73
-0.78,-0.72,2.05,102.65,29.04,-42.29
-1.0,-0.47,2.28,35.45,-21.8,-16.11
-1.11,-0.71,1.74,-42.49,-26.86,72.57
-1.05,-0.57,1.58,-97.24,3.35,-15.13
-0.92,-0.57,1.84,-38.34,15.25,3.85
-0.73,-0.65,1.89,72.68,-4.28,-10.5
-0.95,-0.62,2.09,3.28,1.76,4.64
-0.84,-0.53,1.75,32.95,-85.33,15.51
-1.02,-0.42,1.74,-13.14,-10.08,-46.93
-0.9,-0.57,1.91,-0.81,62.61,-71.23
-0.99,-0.47,1.97,-14.97,-75.2,103.34
-0.72,-0.65,1.69,-19.48,-50.0,88.26
-0.95,-0.64,1.68,-12.71,-47.19,44.99
-0.8,-0.69,1.78,9.69,-4.65,-4.09
-0.77,-0.56,1.85,-12.77,-2.94,2.81
-0.79,-0.59,1.82,-4.04,-6.11,15.14
-0.78,-0.62,1.82,1.88,-13.86,14.35
-0.8,-0.65,1.81,6.4,-1.72,3.36
-0.79,-0.59,1.84,4.87,2.07,-2.01
-0.81,-0.59,1.87,2.73,-7.82,3.79
-0.81,-0.61,1.84,4.56,-13.92,8.55
-0.79,-0.62,1.83,4.5,-8.31,4.4
-0.8,-0.61,1.85,3.65,-6.84,2.02
