accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.81,1.71,2.58,4.0,-0.05
-0.6,-0.81,1.72,1.67,3.69,0.99
-0.6,-0.82,1.71,2.28,2.96,-0.11
-0.6,-0.8,1.72,-3.28,5.46,1.91
-0.61,-0.81,1.76,-7.86,14.19,0.38
-0.63,-0.79,1.71,-2.67,10.71,-10.85
-0.63,-0.84,1.66,12.96,10.53,-12.56
-0.6,-0.79,1.67,19.24,16.08,-16.77
-0.62,-0.81,1.71,19.06,13.7,-14.51
-0.63,-0.79,1.71,17.96,7.91,-13.84
-0.67,-0.75,1.67,14.42,4.06,-12.13
-0.66,-0.77,1.65,22.78,6.01,-12.68
-0.69,-0.75,1.7,13.2,13.15,-15.43
-0.67,-0.73,1.65,15.7,12.61,-12.68
-0.72,-0.79,1.66,11.55,18.04,-27.76
-0.77,-0.73,1.67,-4.19,-2.1,-6.27
-0.7,-0.74,1.67,15.64,-1.13,5.51
-0.64,-0.86,1.79,-65.05,-15.04,-5.54
-0.65,-0.74,1.41,-71.03,45.2,37.37
-0.93,-0.56,1.67,-18.42,29.08,1.3
-0.75,-0.57,1.5,87.79,-95.98,-38.44
-0.7,-0.81,2.05,68.62,88.78,-72.37
-0.73,-0.75,1.94,15.28,-65.52,-37.77
-0.7,-0.33,1.66,16.99,-78.7,143.69
-0.75,-0.88,1.56,-18.29,-52.46,141.55
-0.61,-1.13,1.41,-7.92,-45.62,36.7
-0.51,-0.96,1.48,-17.56,46.85,-51.74
-0.56,-0.64,1.73,-19.57,36.71,-30.5
